n_estimators,max_depth,learning_rate,accuracy,f1_score
10,3,0.01,0.3,0.46153846153846156
10,5,0.01,0.3,0.46153846153846156
30,3,0.1,0.3,0.46153846153846156
20,5,0.1,0.3,0.46153846153846156
20,3,0.1,0.3,0.46153846153846156
10,5,0.1,0.3,0.46153846153846156
10,3,0.1,0.3,0.46153846153846156
30,5,0.05,0.3,0.46153846153846156
30,3,0.05,0.3,0.46153846153846156
20,5,0.05,0.3,0.46153846153846156
20,3,0.05,0.3,0.46153846153846156
10,5,0.05,0.3,0.46153846153846156
10,3,0.05,0.3,0.46153846153846156
30,5,0.01,0.3,0.46153846153846156
30,3,0.01,0.3,0.46153846153846156
20,5,0.01,0.3,0.46153846153846156
20,3,0.01,0.3,0.46153846153846156
30,5,0.1,0.3,0.46153846153846156
