n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.8235294117647058,0.8571428571428571
10,5,0.1,0.8235294117647058,0.8571428571428571
10,3,0.05,0.8235294117647058,0.8571428571428571
10,5,0.05,0.8235294117647058,0.8571428571428571
20,3,0.05,0.8235294117647058,0.8571428571428571
10,3,0.1,0.8235294117647058,0.8571428571428571
30,5,0.05,0.7647058823529411,0.7777777777777778
30,3,0.1,0.7647058823529411,0.7777777777777778
20,5,0.1,0.7647058823529411,0.7777777777777778
20,3,0.1,0.7647058823529411,0.7777777777777778
30,5,0.1,0.7647058823529411,0.7777777777777778
30,3,0.05,0.7647058823529411,0.7777777777777778
10,5,0.01,0.4117647058823529,0.0
30,5,0.01,0.4117647058823529,0.0
30,3,0.01,0.4117647058823529,0.0
20,5,0.01,0.4117647058823529,0.0
20,3,0.01,0.4117647058823529,0.0
10,3,0.01,0.4117647058823529,0.0
