n_estimators,max_depth,learning_rate,accuracy,f1_score
20,3,0.01,0.8181818181818182,0.8571428571428571
20,5,0.01,0.8181818181818182,0.8571428571428571
30,3,0.01,0.8181818181818182,0.8571428571428571
30,5,0.01,0.8181818181818182,0.8571428571428571
20,5,0.05,0.7272727272727273,0.7692307692307693
30,5,0.05,0.7272727272727273,0.7692307692307693
30,3,0.1,0.7272727272727273,0.7692307692307693
20,5,0.1,0.7272727272727273,0.7692307692307693
20,3,0.1,0.7272727272727273,0.7692307692307693
10,5,0.1,0.7272727272727273,0.7692307692307693
10,3,0.1,0.7272727272727273,0.7692307692307693
30,5,0.1,0.7272727272727273,0.7692307692307693
30,3,0.05,0.7272727272727273,0.7692307692307693
20,3,0.05,0.7272727272727273,0.7692307692307693
10,5,0.05,0.7272727272727273,0.7692307692307693
10,3,0.05,0.7272727272727273,0.7692307692307693
10,5,0.01,0.2727272727272727,0.0
10,3,0.01,0.2727272727272727,0.0
