n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.1,0.9761904761904762,0.9811320754716981
20,5,0.1,0.9761904761904762,0.9811320754716981
30,5,0.1,0.9523809523809523,0.9615384615384616
30,5,0.05,0.9523809523809523,0.9615384615384616
30,3,0.05,0.9285714285714286,0.9454545454545454
20,3,0.1,0.9285714285714286,0.9454545454545454
10,3,0.1,0.9285714285714286,0.9454545454545454
20,5,0.05,0.9285714285714286,0.9454545454545454
20,3,0.05,0.9047619047619048,0.9285714285714286
10,5,0.1,0.9047619047619048,0.9285714285714286
10,5,0.05,0.8333333333333334,0.8813559322033898
10,3,0.05,0.8333333333333334,0.8813559322033898
30,5,0.01,0.8333333333333334,0.8813559322033898
30,3,0.01,0.8333333333333334,0.8813559322033898
10,5,0.01,0.6428571428571429,0.782608695652174
20,5,0.01,0.6428571428571429,0.782608695652174
20,3,0.01,0.6428571428571429,0.782608695652174
10,3,0.01,0.6428571428571429,0.782608695652174
