n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.7068965517241379,0.45161290322580644
30,3,0.1,0.7068965517241379,0.45161290322580644
20,5,0.1,0.7068965517241379,0.45161290322580644
20,3,0.1,0.7068965517241379,0.45161290322580644
30,3,0.05,0.6896551724137931,0.4375
30,5,0.05,0.6896551724137931,0.4
10,5,0.1,0.6724137931034483,0.3448275862068966
10,3,0.1,0.6724137931034483,0.3448275862068966
20,5,0.05,0.6724137931034483,0.3448275862068966
20,3,0.05,0.6724137931034483,0.3448275862068966
10,5,0.01,0.6206896551724138,0.0
10,5,0.05,0.6206896551724138,0.0
10,3,0.05,0.6206896551724138,0.0
30,5,0.01,0.6206896551724138,0.0
30,3,0.01,0.6206896551724138,0.0
20,5,0.01,0.6206896551724138,0.0
20,3,0.01,0.6206896551724138,0.0
10,3,0.01,0.6206896551724138,0.0
