n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.1,0.6956521739130435,0.7123287671232876
30,5,0.1,0.6376811594202898,0.6575342465753424
20,3,0.05,0.6521739130434783,0.6571428571428571
10,3,0.1,0.6521739130434783,0.6571428571428571
30,3,0.05,0.6521739130434783,0.6571428571428571
30,3,0.1,0.6231884057971014,0.6388888888888888
20,3,0.1,0.6231884057971014,0.6388888888888888
30,5,0.05,0.5942028985507246,0.6216216216216216
20,5,0.05,0.5942028985507246,0.6111111111111112
10,5,0.05,0.5942028985507246,0.6
10,5,0.1,0.5942028985507246,0.5882352941176471
20,3,0.01,0.6086956521739131,0.5846153846153846
30,5,0.01,0.5797101449275363,0.5797101449275363
10,3,0.05,0.5797101449275363,0.5671641791044776
30,3,0.01,0.5797101449275363,0.5671641791044776
20,5,0.01,0.5797101449275363,0.5671641791044776
10,5,0.01,0.5362318840579711,0.4074074074074074
10,3,0.01,0.5507246376811594,0.39215686274509803
