n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.819672131147541,0.8307692307692308
30,3,0.1,0.819672131147541,0.8307692307692308
20,5,0.05,0.819672131147541,0.819672131147541
30,3,0.05,0.8032786885245902,0.8125
30,5,0.05,0.8032786885245902,0.8125
20,3,0.1,0.8032786885245902,0.8125
10,5,0.1,0.8032786885245902,0.8064516129032258
20,3,0.05,0.7868852459016393,0.8
10,3,0.1,0.7868852459016393,0.8
20,5,0.1,0.7868852459016393,0.7936507936507936
10,3,0.05,0.8032786885245902,0.7857142857142857
10,5,0.05,0.7868852459016393,0.7719298245614035
30,3,0.01,0.7868852459016393,0.7547169811320755
30,5,0.01,0.7868852459016393,0.7547169811320755
20,5,0.01,0.7868852459016393,0.7450980392156863
20,3,0.01,0.7868852459016393,0.7450980392156863
10,5,0.01,0.5081967213114754,0.0
10,3,0.01,0.5081967213114754,0.0
