n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.8918918918918919,0.9183673469387755
30,5,0.05,0.8918918918918919,0.9183673469387755
30,3,0.1,0.8918918918918919,0.9183673469387755
20,5,0.1,0.8918918918918919,0.9183673469387755
20,3,0.1,0.8918918918918919,0.9183673469387755
10,5,0.1,0.8918918918918919,0.9183673469387755
10,3,0.05,0.8918918918918919,0.9183673469387755
10,5,0.05,0.8918918918918919,0.9183673469387755
20,3,0.05,0.8918918918918919,0.9183673469387755
10,3,0.1,0.8918918918918919,0.9183673469387755
30,3,0.05,0.8918918918918919,0.9183673469387755
30,5,0.1,0.8783783783783784,0.9072164948453608
30,5,0.01,0.8378378378378378,0.8846153846153846
30,3,0.01,0.7567567567567568,0.8363636363636363
10,5,0.01,0.6351351351351351,0.7768595041322314
20,5,0.01,0.6351351351351351,0.7768595041322314
20,3,0.01,0.6351351351351351,0.7768595041322314
10,3,0.01,0.6351351351351351,0.7768595041322314
