n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,1.0,1.0
30,3,0.05,1.0,1.0
30,3,0.1,1.0,1.0
20,5,0.1,1.0,1.0
20,3,0.1,1.0,1.0
30,5,0.05,1.0,1.0
10,5,0.1,0.9375,0.9230769230769231
10,3,0.1,0.9375,0.9230769230769231
20,5,0.05,0.9375,0.9230769230769231
20,3,0.05,0.9375,0.9230769230769231
10,5,0.05,0.6875,0.5454545454545454
10,3,0.05,0.6875,0.5454545454545454
30,5,0.01,0.6875,0.5454545454545454
30,3,0.01,0.6875,0.5454545454545454
20,5,0.01,0.6875,0.5454545454545454
20,3,0.01,0.6875,0.5454545454545454
10,5,0.01,0.5625,0.0
10,3,0.01,0.5625,0.0
