n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.6935483870967742,0.3448275862068966
30,3,0.05,0.7419354838709677,0.3333333333333333
30,3,0.1,0.6935483870967742,0.2962962962962963
20,3,0.1,0.6935483870967742,0.24
20,5,0.1,0.6612903225806451,0.2222222222222222
10,5,0.1,0.7258064516129032,0.19047619047619047
30,5,0.05,0.6935483870967742,0.17391304347826086
20,3,0.05,0.7419354838709677,0.1111111111111111
20,5,0.05,0.7258064516129032,0.10526315789473684
10,3,0.1,0.7096774193548387,0.1
10,5,0.01,0.7258064516129032,0.0
10,5,0.05,0.7258064516129032,0.0
10,3,0.05,0.7258064516129032,0.0
30,5,0.01,0.7258064516129032,0.0
30,3,0.01,0.7258064516129032,0.0
20,5,0.01,0.7258064516129032,0.0
20,3,0.01,0.7258064516129032,0.0
10,3,0.01,0.7258064516129032,0.0
