n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.1,0.8360655737704918,0.8717948717948718
20,3,0.1,0.819672131147541,0.8607594936708861
30,3,0.05,0.819672131147541,0.8607594936708861
30,5,0.1,0.8032786885245902,0.8421052631578947
20,5,0.1,0.8032786885245902,0.8421052631578947
20,3,0.05,0.7868852459016393,0.8395061728395061
10,5,0.1,0.7868852459016393,0.8395061728395061
20,5,0.05,0.7868852459016393,0.8395061728395061
10,5,0.05,0.7868852459016393,0.8395061728395061
10,3,0.05,0.7868852459016393,0.8395061728395061
30,5,0.01,0.7868852459016393,0.8395061728395061
30,3,0.01,0.7868852459016393,0.8395061728395061
20,5,0.01,0.7868852459016393,0.8395061728395061
20,3,0.01,0.7868852459016393,0.8395061728395061
10,3,0.1,0.7868852459016393,0.8354430379746836
30,5,0.05,0.7868852459016393,0.8311688311688312
10,5,0.01,0.7540983606557377,0.8235294117647058
10,3,0.01,0.7540983606557377,0.8235294117647058
