n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.864406779661017,0.8947368421052632
30,3,0.05,0.864406779661017,0.8947368421052632
20,3,0.1,0.864406779661017,0.8947368421052632
10,5,0.1,0.864406779661017,0.8947368421052632
10,3,0.1,0.864406779661017,0.8947368421052632
20,3,0.05,0.864406779661017,0.8947368421052632
30,5,0.05,0.864406779661017,0.8947368421052632
10,3,0.05,0.847457627118644,0.8888888888888888
10,5,0.05,0.847457627118644,0.8888888888888888
20,5,0.1,0.847457627118644,0.88
30,5,0.1,0.847457627118644,0.88
30,3,0.1,0.8305084745762712,0.8648648648648649
30,5,0.01,0.711864406779661,0.8172043010752689
30,3,0.01,0.711864406779661,0.8172043010752689
10,5,0.01,0.6779661016949152,0.8080808080808081
20,5,0.01,0.6779661016949152,0.8080808080808081
20,3,0.01,0.6779661016949152,0.8080808080808081
10,3,0.01,0.6779661016949152,0.8080808080808081
