n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.1,0.8333333333333334,0.7906976744186046
20,5,0.05,0.8148148148148148,0.7727272727272727
20,3,0.05,0.8148148148148148,0.7727272727272727
30,3,0.1,0.8148148148148148,0.7727272727272727
10,5,0.1,0.8148148148148148,0.7727272727272727
10,3,0.1,0.8148148148148148,0.7727272727272727
30,5,0.05,0.8148148148148148,0.7727272727272727
30,3,0.05,0.8148148148148148,0.7727272727272727
30,5,0.1,0.8148148148148148,0.7727272727272727
10,5,0.05,0.8148148148148148,0.7619047619047619
10,3,0.05,0.8148148148148148,0.7619047619047619
20,3,0.1,0.8148148148148148,0.7619047619047619
30,3,0.01,0.7962962962962963,0.717948717948718
20,3,0.01,0.7962962962962963,0.717948717948718
30,5,0.01,0.7777777777777778,0.7
20,5,0.01,0.7777777777777778,0.6842105263157895
10,3,0.01,0.6851851851851852,0.41379310344827586
10,5,0.01,0.5925925925925926,0.08333333333333333
