n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.7741935483870968,0.8679245283018868
10,5,0.1,0.7741935483870968,0.8679245283018868
10,3,0.1,0.7741935483870968,0.8679245283018868
20,3,0.05,0.7741935483870968,0.8679245283018868
30,3,0.05,0.7741935483870968,0.8627450980392157
30,5,0.05,0.7741935483870968,0.8627450980392157
30,3,0.1,0.7741935483870968,0.8571428571428571
20,5,0.1,0.7741935483870968,0.8571428571428571
20,3,0.1,0.7741935483870968,0.8571428571428571
30,5,0.1,0.7741935483870968,0.8571428571428571
10,5,0.01,0.7419354838709677,0.8518518518518519
10,5,0.05,0.7419354838709677,0.8518518518518519
10,3,0.05,0.7419354838709677,0.8518518518518519
30,5,0.01,0.7419354838709677,0.8518518518518519
30,3,0.01,0.7419354838709677,0.8518518518518519
20,5,0.01,0.7419354838709677,0.8518518518518519
20,3,0.01,0.7419354838709677,0.8518518518518519
10,3,0.01,0.7419354838709677,0.8518518518518519
