n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.1,0.8648648648648649,0.8076923076923077
20,5,0.05,0.8648648648648649,0.8
30,5,0.05,0.8648648648648649,0.8
20,3,0.1,0.8648648648648649,0.8
10,5,0.1,0.8648648648648649,0.8
10,3,0.05,0.8648648648648649,0.8
10,5,0.05,0.8648648648648649,0.8
20,3,0.05,0.8648648648648649,0.8
10,3,0.1,0.8648648648648649,0.8
30,3,0.05,0.8648648648648649,0.8
30,3,0.1,0.8513513513513513,0.7924528301886793
30,5,0.1,0.8378378378378378,0.7777777777777778
30,5,0.01,0.7702702702702703,0.6046511627906976
30,3,0.01,0.7567567567567568,0.5714285714285714
10,5,0.01,0.6351351351351351,0.0
20,5,0.01,0.6351351351351351,0.0
20,3,0.01,0.6351351351351351,0.0
10,3,0.01,0.6351351351351351,0.0
