n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.7627118644067796,0.6818181818181818
30,3,0.05,0.7627118644067796,0.6818181818181818
30,3,0.1,0.7627118644067796,0.6818181818181818
20,5,0.1,0.7457627118644068,0.6666666666666666
20,3,0.1,0.7457627118644068,0.6666666666666666
30,5,0.05,0.7457627118644068,0.6666666666666666
20,3,0.05,0.7627118644067796,0.6666666666666666
10,5,0.1,0.7457627118644068,0.6511627906976745
10,3,0.1,0.7457627118644068,0.6511627906976745
20,5,0.05,0.7457627118644068,0.6511627906976745
10,5,0.05,0.6779661016949152,0.4864864864864865
10,3,0.05,0.6779661016949152,0.4864864864864865
10,5,0.01,0.559322033898305,0.0
30,5,0.01,0.559322033898305,0.0
30,3,0.01,0.559322033898305,0.0
20,5,0.01,0.559322033898305,0.0
20,3,0.01,0.559322033898305,0.0
10,3,0.01,0.559322033898305,0.0
