n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.9295774647887324,0.945054945054945
30,3,0.05,0.9154929577464789,0.9333333333333333
30,3,0.1,0.9154929577464789,0.9333333333333333
20,5,0.1,0.9154929577464789,0.9333333333333333
20,3,0.1,0.9154929577464789,0.9333333333333333
10,5,0.1,0.9154929577464789,0.9333333333333333
10,3,0.1,0.9154929577464789,0.9333333333333333
30,5,0.05,0.9154929577464789,0.9333333333333333
20,5,0.05,0.9154929577464789,0.9333333333333333
20,3,0.05,0.9154929577464789,0.9333333333333333
10,5,0.05,0.8732394366197183,0.9052631578947369
10,3,0.05,0.8591549295774648,0.8958333333333334
30,5,0.01,0.7605633802816901,0.8349514563106796
30,3,0.01,0.7605633802816901,0.8349514563106796
10,5,0.01,0.6197183098591549,0.7652173913043478
20,5,0.01,0.6197183098591549,0.7652173913043478
20,3,0.01,0.6197183098591549,0.7652173913043478
10,3,0.01,0.6197183098591549,0.7652173913043478
