n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,1.0,1.0
10,5,0.05,1.0,1.0
10,5,0.1,1.0,1.0
10,3,0.1,1.0,1.0
20,3,0.05,1.0,1.0
10,3,0.05,1.0,1.0
10,5,0.01,0.9166666666666666,0.9565217391304348
10,3,0.01,0.9166666666666666,0.9565217391304348
30,5,0.01,0.9166666666666666,0.9565217391304348
30,3,0.01,0.9166666666666666,0.9565217391304348
20,5,0.01,0.9166666666666666,0.9565217391304348
20,3,0.01,0.9166666666666666,0.9565217391304348
30,3,0.05,0.9166666666666666,0.9523809523809523
30,5,0.05,0.9166666666666666,0.9523809523809523
20,3,0.1,0.9166666666666666,0.9523809523809523
20,5,0.1,0.9166666666666666,0.9523809523809523
30,3,0.1,0.9166666666666666,0.9523809523809523
30,5,0.1,0.9166666666666666,0.9523809523809523
