n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.7222222222222222,0.6153846153846154
30,3,0.05,0.7222222222222222,0.6153846153846154
30,3,0.1,0.7222222222222222,0.6153846153846154
20,5,0.1,0.7222222222222222,0.6153846153846154
20,3,0.1,0.7222222222222222,0.6153846153846154
10,5,0.1,0.7222222222222222,0.6153846153846154
10,3,0.1,0.7222222222222222,0.6153846153846154
30,5,0.05,0.7222222222222222,0.6153846153846154
30,5,0.1,0.7222222222222222,0.6153846153846154
20,3,0.05,0.7222222222222222,0.6153846153846154
10,5,0.05,0.7222222222222222,0.6153846153846154
10,3,0.05,0.7222222222222222,0.6153846153846154
10,5,0.01,0.5,0.0
30,5,0.01,0.5,0.0
30,3,0.01,0.5,0.0
20,5,0.01,0.5,0.0
20,3,0.01,0.5,0.0
10,3,0.01,0.5,0.0
