n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.7727272727272727,0.7058823529411765
20,3,0.05,0.7727272727272727,0.7058823529411765
30,3,0.1,0.7727272727272727,0.7058823529411765
10,5,0.1,0.7727272727272727,0.7058823529411765
10,3,0.1,0.7727272727272727,0.7058823529411765
30,5,0.05,0.7727272727272727,0.7058823529411765
30,3,0.05,0.7727272727272727,0.7058823529411765
30,5,0.1,0.7727272727272727,0.7058823529411765
10,5,0.05,0.7727272727272727,0.7058823529411765
10,3,0.05,0.7727272727272727,0.7058823529411765
20,3,0.1,0.7272727272727273,0.6666666666666666
20,5,0.1,0.7272727272727273,0.6666666666666666
30,5,0.01,0.6363636363636364,0.6
30,3,0.01,0.6363636363636364,0.6
20,5,0.01,0.6363636363636364,0.6
20,3,0.01,0.6363636363636364,0.6
10,5,0.01,0.3181818181818182,0.4827586206896552
10,3,0.01,0.3181818181818182,0.4827586206896552
