n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.8461538461538461,0.8181818181818182
30,3,0.1,0.8461538461538461,0.8181818181818182
20,5,0.1,0.6923076923076923,0.6923076923076923
20,3,0.1,0.6923076923076923,0.6923076923076923
30,3,0.05,0.6153846153846154,0.6428571428571429
30,5,0.05,0.6153846153846154,0.6428571428571429
10,5,0.1,0.5,0.5806451612903226
10,3,0.05,0.5,0.5806451612903226
10,5,0.05,0.5,0.5806451612903226
10,3,0.1,0.5,0.5806451612903226
20,5,0.05,0.5,0.5517241379310345
20,3,0.05,0.5,0.5517241379310345
30,5,0.01,0.4230769230769231,0.5454545454545454
30,3,0.01,0.4230769230769231,0.5454545454545454
20,5,0.01,0.4230769230769231,0.5454545454545454
20,3,0.01,0.4230769230769231,0.5454545454545454
10,5,0.01,0.34615384615384615,0.5142857142857142
10,3,0.01,0.34615384615384615,0.5142857142857142
