n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.975,0.9696969696969697
30,5,0.05,0.9,0.8823529411764706
30,3,0.1,0.875,0.8571428571428571
20,5,0.1,0.875,0.8571428571428571
20,5,0.05,0.85,0.8333333333333334
20,3,0.1,0.85,0.8125
10,5,0.1,0.825,0.8108108108108109
30,3,0.05,0.825,0.8
20,5,0.01,0.775,0.7804878048780488
30,5,0.01,0.8,0.7777777777777778
10,3,0.05,0.8,0.7777777777777778
10,5,0.05,0.8,0.7777777777777778
20,3,0.05,0.8,0.7777777777777778
30,3,0.01,0.8,0.7777777777777778
10,3,0.1,0.8,0.7777777777777778
20,3,0.01,0.8,0.7777777777777778
10,3,0.01,0.8,0.7777777777777778
10,5,0.01,0.75,0.7619047619047619
