n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.9,0.9056603773584906
10,5,0.1,0.9,0.9056603773584906
10,3,0.1,0.9,0.9056603773584906
20,3,0.05,0.9,0.9056603773584906
30,3,0.05,0.88,0.8846153846153846
30,3,0.1,0.88,0.8846153846153846
20,5,0.1,0.88,0.8846153846153846
20,3,0.1,0.88,0.8846153846153846
30,5,0.05,0.88,0.8846153846153846
10,3,0.01,0.88,0.8846153846153846
10,5,0.01,0.88,0.8846153846153846
10,5,0.05,0.88,0.8846153846153846
10,3,0.05,0.88,0.8846153846153846
30,5,0.01,0.88,0.8846153846153846
30,3,0.01,0.88,0.8846153846153846
20,5,0.01,0.88,0.8846153846153846
20,3,0.01,0.88,0.8846153846153846
30,5,0.1,0.88,0.8846153846153846
