n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.1,0.6774193548387096,0.53125
30,5,0.1,0.6344086021505376,0.48484848484848486
20,5,0.1,0.6344086021505376,0.48484848484848486
20,3,0.1,0.6559139784946236,0.4838709677419355
30,3,0.05,0.6236559139784946,0.4262295081967213
30,5,0.05,0.6129032258064516,0.41935483870967744
20,5,0.05,0.6129032258064516,0.4
10,5,0.1,0.5913978494623656,0.36666666666666664
10,3,0.1,0.6129032258064516,0.35714285714285715
20,3,0.05,0.6129032258064516,0.3333333333333333
10,5,0.05,0.5806451612903226,0.1702127659574468
10,3,0.05,0.5806451612903226,0.13333333333333333
10,5,0.01,0.5591397849462365,0.0
30,5,0.01,0.5591397849462365,0.0
30,3,0.01,0.5591397849462365,0.0
20,5,0.01,0.5591397849462365,0.0
20,3,0.01,0.5591397849462365,0.0
10,3,0.01,0.5591397849462365,0.0
