n_estimators,max_depth,learning_rate,accuracy,f1_score
10,5,0.1,0.8571428571428571,0.8636363636363636
20,5,0.05,0.8333333333333334,0.8444444444444444
30,3,0.05,0.8333333333333334,0.8444444444444444
10,5,0.05,0.8333333333333334,0.8444444444444444
20,3,0.05,0.8333333333333334,0.8372093023255814
30,3,0.1,0.8095238095238095,0.8333333333333334
20,5,0.1,0.8095238095238095,0.8260869565217391
20,3,0.1,0.8095238095238095,0.8260869565217391
30,5,0.05,0.8095238095238095,0.8260869565217391
30,5,0.1,0.8095238095238095,0.8260869565217391
10,3,0.1,0.7857142857142857,0.7906976744186046
30,5,0.01,0.7857142857142857,0.7906976744186046
10,3,0.05,0.7619047619047619,0.75
20,5,0.01,0.7380952380952381,0.717948717948718
30,3,0.01,0.6904761904761905,0.6486486486486487
20,3,0.01,0.6904761904761905,0.6486486486486487
10,5,0.01,0.42857142857142855,0.0
10,3,0.01,0.42857142857142855,0.0
