n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.9142857142857143,0.9433962264150944
30,3,0.1,0.8857142857142857,0.9272727272727272
30,5,0.05,0.8571428571428571,0.9090909090909091
20,5,0.1,0.8571428571428571,0.9074074074074074
20,3,0.1,0.8428571428571429,0.9009009009009009
30,3,0.05,0.8285714285714286,0.8928571428571429
10,3,0.1,0.8142857142857143,0.8888888888888888
20,3,0.05,0.8142857142857143,0.8888888888888888
10,5,0.1,0.8142857142857143,0.8849557522123894
10,5,0.05,0.8,0.8833333333333333
20,5,0.05,0.8,0.8771929824561403
10,3,0.05,0.7857142857142857,0.8760330578512396
10,5,0.01,0.7714285714285715,0.8709677419354839
30,5,0.01,0.7714285714285715,0.8709677419354839
30,3,0.01,0.7714285714285715,0.8709677419354839
20,5,0.01,0.7714285714285715,0.8709677419354839
20,3,0.01,0.7714285714285715,0.8709677419354839
10,3,0.01,0.7714285714285715,0.8709677419354839
