n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.1,0.9195402298850575,0.8771929824561403
20,3,0.01,0.9195402298850575,0.8679245283018868
30,3,0.01,0.9195402298850575,0.8679245283018868
30,5,0.01,0.9195402298850575,0.8679245283018868
20,5,0.05,0.896551724137931,0.847457627118644
30,5,0.05,0.896551724137931,0.847457627118644
20,5,0.1,0.896551724137931,0.847457627118644
20,3,0.1,0.896551724137931,0.847457627118644
10,5,0.1,0.896551724137931,0.847457627118644
10,3,0.1,0.896551724137931,0.847457627118644
30,5,0.1,0.896551724137931,0.847457627118644
30,3,0.05,0.896551724137931,0.847457627118644
20,3,0.05,0.896551724137931,0.847457627118644
10,5,0.05,0.896551724137931,0.847457627118644
10,3,0.05,0.896551724137931,0.847457627118644
20,5,0.01,0.8505747126436781,0.723404255319149
10,5,0.01,0.6666666666666666,0.0
10,3,0.01,0.6666666666666666,0.0
