n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
30,3,10,4,0.8,0.8333333333333334
20,3,10,4,0.8,0.8333333333333334
30,3,5,4,0.8,0.8333333333333334
30,3,2,4,0.8,0.8333333333333334
30,5,10,4,0.7,0.7692307692307693
10,3,2,2,0.7,0.7692307692307693
20,5,10,4,0.7,0.7692307692307693
30,5,5,4,0.7,0.7692307692307693
30,5,2,4,0.7,0.7692307692307693
20,3,5,4,0.7,0.7272727272727273
20,3,2,4,0.7,0.7272727272727273
10,5,10,2,0.6,0.7142857142857143
10,5,5,2,0.6,0.7142857142857143
10,3,5,2,0.6,0.7142857142857143
10,5,2,2,0.6,0.7142857142857143
10,3,2,1,0.6,0.7142857142857143
10,5,5,1,0.6,0.7142857142857143
10,5,10,1,0.6,0.7142857142857143
10,3,10,1,0.6,0.7142857142857143
10,3,5,1,0.6,0.7142857142857143
30,3,10,1,0.6,0.6666666666666666
10,3,10,4,0.6,0.6666666666666666
10,3,5,4,0.6,0.6666666666666666
10,3,2,4,0.6,0.6666666666666666
30,3,10,2,0.6,0.6666666666666666
20,5,5,4,0.6,0.6666666666666666
20,3,10,2,0.6,0.6666666666666666
30,3,5,2,0.6,0.6666666666666666
10,5,10,4,0.6,0.6666666666666666
20,3,5,2,0.6,0.6666666666666666
30,3,2,2,0.6,0.6666666666666666
20,3,2,2,0.6,0.6666666666666666
20,3,10,1,0.6,0.6666666666666666
20,5,2,4,0.6,0.6666666666666666
20,5,5,1,0.5,0.6153846153846154
30,5,2,1,0.5,0.6153846153846154
30,3,2,1,0.5,0.6153846153846154
20,5,2,1,0.5,0.6153846153846154
20,3,2,1,0.5,0.6153846153846154
20,3,5,1,0.5,0.6153846153846154
30,5,10,2,0.5,0.6153846153846154
30,3,5,1,0.5,0.6153846153846154
30,5,10,1,0.5,0.6153846153846154
20,5,10,2,0.5,0.6153846153846154
30,5,5,1,0.5,0.6153846153846154
10,3,10,2,0.5,0.6153846153846154
30,5,5,2,0.5,0.6153846153846154
10,5,2,1,0.5,0.6153846153846154
30,5,2,2,0.5,0.6153846153846154
20,5,2,2,0.5,0.6153846153846154
20,5,10,1,0.5,0.6153846153846154
20,5,5,2,0.5,0.6153846153846154
10,5,2,4,0.5,0.5454545454545454
10,5,5,4,0.5,0.5454545454545454
