n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
20,5,5,2,0.8823529411764706,0.875
30,3,2,4,0.8823529411764706,0.875
30,5,5,2,0.8823529411764706,0.875
10,3,10,2,0.8823529411764706,0.875
10,5,10,2,0.8823529411764706,0.875
20,3,10,2,0.8823529411764706,0.875
20,5,10,2,0.8823529411764706,0.875
30,3,10,2,0.8823529411764706,0.875
30,5,10,2,0.8823529411764706,0.875
10,3,2,4,0.8823529411764706,0.875
10,5,2,4,0.8823529411764706,0.875
20,3,2,4,0.8823529411764706,0.875
20,5,2,4,0.8823529411764706,0.875
30,5,2,4,0.8823529411764706,0.875
10,5,2,1,0.8823529411764706,0.875
10,3,5,4,0.8823529411764706,0.875
10,5,5,4,0.8823529411764706,0.875
20,3,5,4,0.8823529411764706,0.875
20,5,5,4,0.8823529411764706,0.875
30,3,5,4,0.8823529411764706,0.875
30,5,5,4,0.8823529411764706,0.875
10,3,10,4,0.8823529411764706,0.875
10,5,10,4,0.8823529411764706,0.875
20,3,10,4,0.8823529411764706,0.875
20,5,10,4,0.8823529411764706,0.875
30,3,10,4,0.8823529411764706,0.875
30,3,5,2,0.8823529411764706,0.875
30,5,10,4,0.8823529411764706,0.875
20,3,5,2,0.8823529411764706,0.875
20,3,2,2,0.8823529411764706,0.875
10,5,5,2,0.8823529411764706,0.875
30,3,2,1,0.8823529411764706,0.875
10,5,2,2,0.8823529411764706,0.875
10,3,2,2,0.8823529411764706,0.875
20,5,2,2,0.8823529411764706,0.875
30,3,2,2,0.8823529411764706,0.875
30,5,2,2,0.8823529411764706,0.875
10,3,5,2,0.8823529411764706,0.875
30,3,5,1,0.8823529411764706,0.875
20,3,5,1,0.8235294117647058,0.8
20,3,2,1,0.8235294117647058,0.8
20,5,2,1,0.8235294117647058,0.8
30,5,2,1,0.8235294117647058,0.8
10,3,5,1,0.8235294117647058,0.8
10,5,5,1,0.8235294117647058,0.8
10,5,10,1,0.8235294117647058,0.8
20,5,5,1,0.8235294117647058,0.8
30,5,5,1,0.8235294117647058,0.8
10,3,10,1,0.8235294117647058,0.8
30,3,10,1,0.8235294117647058,0.8
30,5,10,1,0.8235294117647058,0.8
10,3,2,1,0.8235294117647058,0.8
20,3,10,1,0.7647058823529411,0.7142857142857143
20,5,10,1,0.7647058823529411,0.7142857142857143
