n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
30,5,10,4,0.8947368421052632,0.75
30,3,2,4,0.8947368421052632,0.75
30,5,5,2,0.8947368421052632,0.75
30,3,5,2,0.8947368421052632,0.75
10,5,2,1,0.8947368421052632,0.75
10,5,5,2,0.8947368421052632,0.75
10,3,5,2,0.8947368421052632,0.75
30,5,2,2,0.8947368421052632,0.75
30,3,10,2,0.8947368421052632,0.75
20,5,2,2,0.8947368421052632,0.75
10,5,2,2,0.8947368421052632,0.75
10,3,2,4,0.8947368421052632,0.75
10,3,10,2,0.8947368421052632,0.75
30,3,5,4,0.8947368421052632,0.75
10,3,5,4,0.8947368421052632,0.75
30,3,10,4,0.8947368421052632,0.75
20,3,10,4,0.8947368421052632,0.75
10,5,10,4,0.8947368421052632,0.75
10,3,10,4,0.8947368421052632,0.75
20,5,10,4,0.8421052631578947,0.6666666666666666
20,5,10,2,0.8421052631578947,0.6666666666666666
30,5,5,4,0.8421052631578947,0.6666666666666666
30,5,2,4,0.8421052631578947,0.6666666666666666
20,5,5,4,0.8421052631578947,0.6666666666666666
30,5,10,2,0.8421052631578947,0.6666666666666666
20,3,5,4,0.8421052631578947,0.6666666666666666
10,5,5,4,0.8421052631578947,0.6666666666666666
10,5,2,4,0.8421052631578947,0.6666666666666666
20,3,2,4,0.8421052631578947,0.6666666666666666
20,3,10,2,0.8421052631578947,0.6666666666666666
20,5,2,4,0.8421052631578947,0.6666666666666666
10,3,2,1,0.8421052631578947,0.6666666666666666
10,5,10,2,0.8421052631578947,0.6666666666666666
10,5,10,1,0.8421052631578947,0.6666666666666666
20,3,2,1,0.8421052631578947,0.6666666666666666
10,3,5,1,0.8421052631578947,0.6666666666666666
20,3,5,1,0.8421052631578947,0.6666666666666666
30,3,5,1,0.8421052631578947,0.6666666666666666
20,3,5,2,0.8421052631578947,0.6666666666666666
10,3,10,1,0.8421052631578947,0.6666666666666666
20,5,5,2,0.8421052631578947,0.6666666666666666
20,3,10,1,0.8421052631578947,0.6666666666666666
20,5,10,1,0.8421052631578947,0.6666666666666666
30,3,10,1,0.8421052631578947,0.6666666666666666
30,5,10,1,0.8421052631578947,0.6666666666666666
10,3,2,2,0.8421052631578947,0.6666666666666666
20,3,2,2,0.8421052631578947,0.6666666666666666
30,3,2,2,0.8421052631578947,0.6666666666666666
10,5,5,1,0.8421052631578947,0.5714285714285714
30,5,2,1,0.8421052631578947,0.5714285714285714
20,5,2,1,0.8421052631578947,0.5714285714285714
30,5,5,1,0.8421052631578947,0.5714285714285714
20,5,5,1,0.7894736842105263,0.5
30,3,2,1,0.7894736842105263,0.5
