n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
20,5,5,2,1.0,1.0
20,5,2,4,1.0,1.0
20,3,5,2,1.0,1.0
30,3,5,2,1.0,1.0
30,5,5,2,1.0,1.0
20,3,10,2,1.0,1.0
20,5,10,2,1.0,1.0
30,3,10,2,1.0,1.0
30,5,10,2,1.0,1.0
20,3,2,4,1.0,1.0
30,3,2,4,1.0,1.0
30,3,2,2,1.0,1.0
30,5,2,4,1.0,1.0
20,3,5,4,1.0,1.0
20,5,5,4,1.0,1.0
30,3,5,4,1.0,1.0
30,5,5,4,1.0,1.0
20,3,10,4,1.0,1.0
20,5,10,4,1.0,1.0
30,3,10,4,1.0,1.0
30,5,2,2,1.0,1.0
30,5,10,4,1.0,1.0
20,5,2,2,1.0,1.0
30,5,2,1,1.0,1.0
30,3,5,1,1.0,1.0
30,5,5,1,1.0,1.0
20,3,2,2,1.0,1.0
20,3,5,1,1.0,1.0
20,3,10,1,1.0,1.0
20,5,10,1,1.0,1.0
30,3,10,1,1.0,1.0
30,5,10,1,1.0,1.0
30,3,2,1,1.0,1.0
20,5,2,1,1.0,1.0
20,3,2,1,1.0,1.0
20,5,5,1,1.0,1.0
10,3,5,1,0.9811320754716981,0.8888888888888888
10,3,5,4,0.9811320754716981,0.8888888888888888
10,3,10,4,0.9811320754716981,0.8888888888888888
10,5,5,1,0.9811320754716981,0.8888888888888888
10,5,10,4,0.9811320754716981,0.8888888888888888
10,5,5,4,0.9811320754716981,0.8888888888888888
10,3,10,1,0.9811320754716981,0.8888888888888888
10,5,2,4,0.9811320754716981,0.8888888888888888
10,3,2,4,0.9811320754716981,0.8888888888888888
10,5,10,1,0.9811320754716981,0.8888888888888888
10,5,10,2,0.9811320754716981,0.8888888888888888
10,3,10,2,0.9811320754716981,0.8888888888888888
10,3,2,2,0.9811320754716981,0.8888888888888888
10,5,2,1,0.9811320754716981,0.8888888888888888
10,5,2,2,0.9811320754716981,0.8888888888888888
10,5,5,2,0.9811320754716981,0.8888888888888888
10,3,5,2,0.9811320754716981,0.8888888888888888
10,3,2,1,0.9811320754716981,0.8888888888888888
