n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,3,2,1,0.8636363636363636,0.5714285714285714
30,3,5,2,0.8636363636363636,0.5714285714285714
10,3,10,2,0.8636363636363636,0.5714285714285714
10,5,10,2,0.8636363636363636,0.5714285714285714
20,3,10,2,0.8636363636363636,0.5714285714285714
20,5,10,2,0.8636363636363636,0.5714285714285714
30,3,10,2,0.8636363636363636,0.5714285714285714
30,5,10,2,0.8636363636363636,0.5714285714285714
10,3,2,4,0.8636363636363636,0.5714285714285714
10,5,2,4,0.8636363636363636,0.5714285714285714
20,3,2,4,0.8636363636363636,0.5714285714285714
20,5,2,4,0.8636363636363636,0.5714285714285714
30,3,2,4,0.8636363636363636,0.5714285714285714
30,5,2,4,0.8636363636363636,0.5714285714285714
10,3,5,4,0.8636363636363636,0.5714285714285714
10,5,5,4,0.8636363636363636,0.5714285714285714
20,3,5,4,0.8636363636363636,0.5714285714285714
20,5,5,4,0.8636363636363636,0.5714285714285714
30,3,5,4,0.8636363636363636,0.5714285714285714
30,5,5,4,0.8636363636363636,0.5714285714285714
10,3,10,4,0.8636363636363636,0.5714285714285714
10,5,10,4,0.8636363636363636,0.5714285714285714
20,3,10,4,0.8636363636363636,0.5714285714285714
20,5,10,4,0.8636363636363636,0.5714285714285714
30,3,10,4,0.8636363636363636,0.5714285714285714
30,5,5,2,0.8636363636363636,0.5714285714285714
20,5,5,2,0.8636363636363636,0.5714285714285714
20,3,10,1,0.8636363636363636,0.5714285714285714
20,3,5,2,0.8636363636363636,0.5714285714285714
20,3,2,1,0.8636363636363636,0.5714285714285714
20,5,2,1,0.8636363636363636,0.5714285714285714
30,3,2,1,0.8636363636363636,0.5714285714285714
30,5,2,1,0.8636363636363636,0.5714285714285714
10,3,5,1,0.8636363636363636,0.5714285714285714
20,3,5,1,0.8636363636363636,0.5714285714285714
20,5,5,1,0.8636363636363636,0.5714285714285714
30,3,5,1,0.8636363636363636,0.5714285714285714
30,5,5,1,0.8636363636363636,0.5714285714285714
10,3,10,1,0.8636363636363636,0.5714285714285714
30,5,10,4,0.8636363636363636,0.5714285714285714
20,5,10,1,0.8636363636363636,0.5714285714285714
30,3,10,1,0.8636363636363636,0.5714285714285714
30,5,10,1,0.8636363636363636,0.5714285714285714
10,3,2,2,0.8636363636363636,0.5714285714285714
20,3,2,2,0.8636363636363636,0.5714285714285714
20,5,2,2,0.8636363636363636,0.5714285714285714
30,3,2,2,0.8636363636363636,0.5714285714285714
30,5,2,2,0.8636363636363636,0.5714285714285714
10,3,5,2,0.8636363636363636,0.5714285714285714
10,5,10,1,0.8181818181818182,0.3333333333333333
10,5,2,2,0.8181818181818182,0.3333333333333333
10,5,5,1,0.8181818181818182,0.3333333333333333
10,5,2,1,0.8181818181818182,0.3333333333333333
10,5,5,2,0.7727272727272727,0.2857142857142857
