n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,5,2,1,0.9047619047619048,0.9354838709677419
20,5,2,1,0.8571428571428571,0.9032258064516129
30,5,2,1,0.8571428571428571,0.9032258064516129
30,5,5,4,0.8333333333333334,0.8888888888888888
30,5,2,4,0.8333333333333334,0.8888888888888888
10,5,5,4,0.8333333333333334,0.8852459016393442
10,5,10,4,0.8333333333333334,0.8852459016393442
10,5,2,4,0.8333333333333334,0.8852459016393442
30,5,5,1,0.8333333333333334,0.8852459016393442
30,5,10,1,0.8333333333333334,0.8852459016393442
20,5,2,4,0.8095238095238095,0.8709677419354839
30,3,10,2,0.8095238095238095,0.8709677419354839
30,5,10,2,0.8095238095238095,0.8709677419354839
10,3,2,4,0.8095238095238095,0.8709677419354839
20,3,2,4,0.8095238095238095,0.8709677419354839
10,3,2,1,0.8095238095238095,0.8709677419354839
30,3,2,4,0.8095238095238095,0.8709677419354839
10,3,5,4,0.8095238095238095,0.8709677419354839
20,3,5,4,0.8095238095238095,0.8709677419354839
20,5,5,4,0.8095238095238095,0.8709677419354839
30,3,5,4,0.8095238095238095,0.8709677419354839
10,3,10,4,0.8095238095238095,0.8709677419354839
20,3,10,4,0.8095238095238095,0.8709677419354839
10,3,10,2,0.8095238095238095,0.8709677419354839
30,5,10,4,0.8095238095238095,0.8709677419354839
30,3,10,1,0.8095238095238095,0.8709677419354839
10,3,5,2,0.8095238095238095,0.8709677419354839
10,3,5,1,0.8095238095238095,0.8709677419354839
10,5,5,1,0.8095238095238095,0.8709677419354839
10,3,10,1,0.8095238095238095,0.8709677419354839
10,3,2,2,0.8095238095238095,0.8709677419354839
10,5,10,1,0.8095238095238095,0.8709677419354839
20,5,5,1,0.8095238095238095,0.8666666666666667
20,3,10,1,0.7857142857142857,0.8524590163934426
30,3,10,4,0.7857142857142857,0.8524590163934426
20,5,10,4,0.7857142857142857,0.8524590163934426
20,3,2,1,0.7857142857142857,0.8524590163934426
30,3,2,1,0.7857142857142857,0.8524590163934426
20,3,5,1,0.7857142857142857,0.8524590163934426
30,3,5,1,0.7857142857142857,0.8524590163934426
10,5,5,2,0.7857142857142857,0.8524590163934426
20,5,10,1,0.7857142857142857,0.8524590163934426
20,3,5,2,0.7857142857142857,0.8524590163934426
10,5,2,2,0.7857142857142857,0.8524590163934426
20,3,2,2,0.7857142857142857,0.8524590163934426
20,5,2,2,0.7857142857142857,0.8524590163934426
30,3,2,2,0.7857142857142857,0.8524590163934426
20,5,10,2,0.7857142857142857,0.8524590163934426
20,3,10,2,0.7857142857142857,0.8524590163934426
10,5,10,2,0.7857142857142857,0.8524590163934426
30,5,2,2,0.7857142857142857,0.8524590163934426
30,5,5,2,0.7857142857142857,0.8524590163934426
30,3,5,2,0.7857142857142857,0.8524590163934426
20,5,5,2,0.7857142857142857,0.8524590163934426
