n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,5,5,2,0.6376811594202898,0.6268656716417911
10,5,10,2,0.6521739130434783,0.625
10,5,2,2,0.6086956521739131,0.6086956521739131
20,5,2,2,0.6231884057971014,0.6060606060606061
30,5,2,2,0.6086956521739131,0.5970149253731343
30,3,10,4,0.6231884057971014,0.59375
10,5,10,4,0.6231884057971014,0.59375
20,5,2,1,0.6231884057971014,0.59375
20,3,2,2,0.5942028985507246,0.5882352941176471
20,3,5,2,0.5942028985507246,0.5882352941176471
10,5,10,1,0.6086956521739131,0.5846153846153846
20,3,10,4,0.6086956521739131,0.5846153846153846
10,3,5,4,0.5942028985507246,0.5757575757575758
10,3,2,4,0.5942028985507246,0.5757575757575758
30,3,2,1,0.6086956521739131,0.5714285714285714
30,3,5,1,0.6086956521739131,0.5714285714285714
30,3,2,2,0.6086956521739131,0.5714285714285714
30,3,5,2,0.6086956521739131,0.5714285714285714
10,5,5,4,0.5797101449275363,0.5671641791044776
10,5,2,4,0.5797101449275363,0.5671641791044776
10,3,10,4,0.5797101449275363,0.5671641791044776
20,3,5,1,0.5797101449275363,0.5671641791044776
20,3,2,1,0.5797101449275363,0.5671641791044776
30,3,10,2,0.5942028985507246,0.5625
10,3,2,1,0.5942028985507246,0.5625
20,3,2,4,0.5942028985507246,0.5625
30,3,2,4,0.5942028985507246,0.5625
20,3,10,1,0.5942028985507246,0.5625
20,3,5,4,0.5942028985507246,0.5625
30,3,5,4,0.5942028985507246,0.5625
30,3,10,1,0.5942028985507246,0.5625
20,3,10,2,0.5652173913043478,0.5588235294117647
20,5,5,2,0.5797101449275363,0.5538461538461539
10,5,2,1,0.5797101449275363,0.5538461538461539
10,3,5,1,0.5797101449275363,0.5538461538461539
20,5,5,1,0.5797101449275363,0.5538461538461539
10,3,10,1,0.5797101449275363,0.5538461538461539
10,3,5,2,0.5652173913043478,0.5454545454545454
10,3,2,2,0.5652173913043478,0.5454545454545454
10,5,5,1,0.5652173913043478,0.5454545454545454
10,3,10,2,0.5652173913043478,0.5454545454545454
30,5,10,2,0.5797101449275363,0.5396825396825397
20,5,10,2,0.5942028985507246,0.5333333333333333
30,5,5,1,0.5652173913043478,0.53125
30,5,5,2,0.5652173913043478,0.53125
20,5,10,1,0.5797101449275363,0.5245901639344263
20,5,10,4,0.5652173913043478,0.5161290322580645
30,5,2,1,0.5652173913043478,0.5161290322580645
30,5,5,4,0.5507246376811594,0.5079365079365079
30,5,2,4,0.5507246376811594,0.5079365079365079
30,5,10,4,0.5507246376811594,0.5079365079365079
30,5,10,1,0.5362318840579711,0.5
20,5,5,4,0.5362318840579711,0.4838709677419355
20,5,2,4,0.5362318840579711,0.4838709677419355
