n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
30,5,10,4,0.9791666666666666,0.9777777777777777
20,5,10,2,0.9791666666666666,0.9777777777777777
30,5,10,2,0.9791666666666666,0.9777777777777777
30,5,10,1,0.96875,0.967032967032967
20,5,10,1,0.96875,0.967032967032967
30,5,5,4,0.96875,0.9662921348314607
30,5,2,4,0.96875,0.9662921348314607
20,5,10,4,0.96875,0.9662921348314607
20,5,2,2,0.9583333333333334,0.9555555555555556
20,5,2,1,0.9583333333333334,0.9555555555555556
20,5,5,4,0.9583333333333334,0.9545454545454546
20,5,2,4,0.9583333333333334,0.9545454545454546
30,5,2,2,0.9479166666666666,0.945054945054945
30,3,2,1,0.9479166666666666,0.9411764705882353
30,3,5,1,0.9479166666666666,0.9411764705882353
30,3,5,2,0.9479166666666666,0.9411764705882353
30,3,2,2,0.9479166666666666,0.9411764705882353
30,5,5,2,0.9375,0.9333333333333333
30,5,2,1,0.9375,0.9333333333333333
30,5,5,1,0.9375,0.9333333333333333
30,3,5,4,0.9375,0.9302325581395349
30,3,10,2,0.9375,0.9302325581395349
30,3,10,4,0.9375,0.9302325581395349
30,3,2,4,0.9375,0.9302325581395349
30,3,10,1,0.9375,0.9302325581395349
20,5,5,2,0.9270833333333334,0.9230769230769231
20,5,5,1,0.9270833333333334,0.9213483146067416
20,3,5,2,0.9270833333333334,0.9176470588235294
20,3,2,2,0.9270833333333334,0.9176470588235294
20,3,2,1,0.9270833333333334,0.9176470588235294
20,3,5,1,0.9270833333333334,0.9176470588235294
10,5,10,1,0.9166666666666666,0.9090909090909091
20,3,10,2,0.9166666666666666,0.9047619047619048
10,3,2,4,0.9166666666666666,0.9047619047619048
20,3,2,4,0.9166666666666666,0.9047619047619048
20,3,10,1,0.9166666666666666,0.9047619047619048
20,3,10,4,0.9166666666666666,0.9047619047619048
10,3,5,4,0.9166666666666666,0.9047619047619048
20,3,5,4,0.9166666666666666,0.9047619047619048
10,3,10,4,0.9166666666666666,0.9047619047619048
10,5,5,1,0.90625,0.898876404494382
10,5,2,1,0.90625,0.898876404494382
10,5,10,2,0.90625,0.896551724137931
10,5,5,2,0.8958333333333334,0.8888888888888888
10,5,2,2,0.8958333333333334,0.8863636363636364
10,3,5,1,0.8958333333333334,0.8837209302325582
10,5,10,4,0.8958333333333334,0.8837209302325582
10,3,2,1,0.8958333333333334,0.8837209302325582
10,3,5,2,0.8958333333333334,0.8837209302325582
10,3,10,2,0.8958333333333334,0.8837209302325582
10,3,10,1,0.8958333333333334,0.8837209302325582
10,3,2,2,0.8958333333333334,0.8837209302325582
10,5,2,4,0.8645833333333334,0.8470588235294118
10,5,5,4,0.8645833333333334,0.8470588235294118
