n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,5,10,1,0.8783783783783784,0.9108910891089109
20,5,5,2,0.8783783783783784,0.9090909090909091
30,5,5,2,0.8783783783783784,0.9090909090909091
10,5,5,2,0.8783783783783784,0.9090909090909091
20,5,5,4,0.8783783783783784,0.9090909090909091
20,5,2,4,0.8783783783783784,0.9090909090909091
20,5,5,1,0.8783783783783784,0.9090909090909091
10,5,10,2,0.8783783783783784,0.9090909090909091
10,5,5,1,0.8648648648648649,0.9019607843137255
10,5,2,2,0.8648648648648649,0.9
30,5,10,2,0.8648648648648649,0.9
30,5,5,1,0.8648648648648649,0.9
20,5,10,2,0.8648648648648649,0.9
20,5,10,1,0.8648648648648649,0.9
20,5,2,2,0.8648648648648649,0.8979591836734694
30,3,5,2,0.8513513513513513,0.8910891089108911
30,3,10,2,0.8513513513513513,0.8910891089108911
30,5,2,4,0.8513513513513513,0.8910891089108911
30,5,5,4,0.8513513513513513,0.8910891089108911
20,5,10,4,0.8513513513513513,0.8910891089108911
30,3,2,2,0.8513513513513513,0.8910891089108911
30,5,10,4,0.8513513513513513,0.8910891089108911
30,5,10,1,0.8513513513513513,0.8910891089108911
20,5,2,1,0.8513513513513513,0.8910891089108911
30,5,2,2,0.8513513513513513,0.8888888888888888
10,5,2,1,0.8378378378378378,0.8846153846153846
30,3,5,4,0.8378378378378378,0.8823529411764706
30,3,10,4,0.8378378378378378,0.8823529411764706
30,5,2,1,0.8378378378378378,0.8823529411764706
30,3,2,4,0.8378378378378378,0.8823529411764706
10,3,2,4,0.8378378378378378,0.88
30,3,2,1,0.8378378378378378,0.88
10,3,10,4,0.8378378378378378,0.88
10,5,5,4,0.8378378378378378,0.88
10,3,5,4,0.8378378378378378,0.88
10,5,2,4,0.8378378378378378,0.88
30,3,5,1,0.8378378378378378,0.88
20,3,5,1,0.8378378378378378,0.88
20,3,10,2,0.8378378378378378,0.88
20,3,10,1,0.8378378378378378,0.88
10,5,10,4,0.8378378378378378,0.88
30,3,10,1,0.8378378378378378,0.88
20,3,10,4,0.8378378378378378,0.88
20,3,2,1,0.8378378378378378,0.88
10,3,10,1,0.8243243243243243,0.8737864077669902
10,3,5,1,0.8243243243243243,0.8737864077669902
10,3,2,1,0.8243243243243243,0.8737864077669902
20,3,2,4,0.8243243243243243,0.8712871287128713
20,3,5,4,0.8243243243243243,0.8712871287128713
20,3,5,2,0.8243243243243243,0.8686868686868687
10,3,2,2,0.8243243243243243,0.8686868686868687
10,3,5,2,0.8243243243243243,0.8686868686868687
20,3,2,2,0.8243243243243243,0.8686868686868687
10,3,10,2,0.8108108108108109,0.86
