n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
30,5,10,4,1.0,1.0
30,5,5,1,1.0,1.0
10,5,2,1,1.0,1.0
20,5,2,2,1.0,1.0
30,5,5,2,1.0,1.0
20,5,10,2,1.0,1.0
30,5,10,1,1.0,1.0
20,5,10,1,1.0,1.0
30,5,10,2,1.0,1.0
20,5,2,4,1.0,1.0
30,5,2,2,1.0,1.0
30,5,2,4,1.0,1.0
20,5,5,1,1.0,1.0
20,5,5,4,1.0,1.0
10,5,5,1,1.0,1.0
30,5,2,1,1.0,1.0
30,5,5,4,1.0,1.0
20,5,2,1,1.0,1.0
10,5,5,2,0.96875,0.9629629629629629
30,3,10,2,0.96875,0.9629629629629629
30,3,5,4,0.96875,0.9629629629629629
30,3,5,2,0.96875,0.9629629629629629
30,3,10,4,0.96875,0.9629629629629629
30,3,2,4,0.96875,0.9629629629629629
20,5,5,2,0.96875,0.9629629629629629
30,3,2,1,0.96875,0.9629629629629629
30,3,2,2,0.96875,0.9629629629629629
10,5,2,2,0.96875,0.9629629629629629
30,3,5,1,0.96875,0.9629629629629629
30,3,10,1,0.96875,0.9629629629629629
20,5,10,4,0.96875,0.96
10,5,5,4,0.9375,0.9230769230769231
10,5,2,4,0.9375,0.9230769230769231
10,5,10,1,0.90625,0.8888888888888888
10,5,10,2,0.90625,0.8888888888888888
20,3,10,2,0.90625,0.88
20,3,10,1,0.90625,0.88
10,3,10,4,0.90625,0.88
20,3,2,4,0.90625,0.88
20,3,5,2,0.90625,0.88
20,3,10,4,0.90625,0.88
20,3,2,1,0.90625,0.88
10,3,5,4,0.90625,0.88
20,3,2,2,0.90625,0.88
20,3,5,4,0.90625,0.88
20,3,5,1,0.90625,0.88
10,5,10,4,0.90625,0.88
10,3,2,4,0.90625,0.88
10,3,5,2,0.875,0.8461538461538461
10,3,5,1,0.875,0.8461538461538461
10,3,10,1,0.875,0.8461538461538461
10,3,2,2,0.875,0.8461538461538461
10,3,10,2,0.875,0.8461538461538461
10,3,2,1,0.875,0.8461538461538461
