n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,3,10,2,0.9696969696969697,0.967741935483871
30,5,10,2,0.9696969696969697,0.967741935483871
10,5,10,1,0.9696969696969697,0.967741935483871
10,3,10,1,0.9696969696969697,0.967741935483871
10,5,10,2,0.9393939393939394,0.9375
10,5,10,4,0.9393939393939394,0.9375
10,3,2,2,0.9393939393939394,0.9375
30,3,10,1,0.9393939393939394,0.9333333333333333
20,3,2,4,0.9393939393939394,0.9333333333333333
20,3,2,2,0.9393939393939394,0.9333333333333333
30,3,2,2,0.9393939393939394,0.9333333333333333
20,3,5,2,0.9393939393939394,0.9333333333333333
10,3,5,2,0.9393939393939394,0.9333333333333333
10,3,2,4,0.9393939393939394,0.9333333333333333
30,3,5,2,0.9393939393939394,0.9333333333333333
30,3,10,2,0.9393939393939394,0.9333333333333333
30,3,2,4,0.9393939393939394,0.9333333333333333
20,3,10,2,0.9393939393939394,0.9333333333333333
30,5,10,1,0.9393939393939394,0.9333333333333333
20,5,10,2,0.9393939393939394,0.9333333333333333
20,3,10,1,0.9393939393939394,0.9333333333333333
10,3,5,4,0.9393939393939394,0.9333333333333333
20,3,5,4,0.9393939393939394,0.9333333333333333
30,3,5,4,0.9393939393939394,0.9333333333333333
10,3,10,4,0.9393939393939394,0.9333333333333333
20,3,10,4,0.9393939393939394,0.9333333333333333
30,3,10,4,0.9393939393939394,0.9333333333333333
20,5,10,4,0.9090909090909091,0.9032258064516129
30,5,2,4,0.9090909090909091,0.896551724137931
20,5,2,4,0.9090909090909091,0.896551724137931
20,5,5,4,0.9090909090909091,0.896551724137931
30,5,5,4,0.9090909090909091,0.896551724137931
10,3,2,1,0.9090909090909091,0.896551724137931
30,5,10,4,0.9090909090909091,0.896551724137931
20,3,5,1,0.9090909090909091,0.896551724137931
20,3,2,1,0.9090909090909091,0.896551724137931
30,3,2,1,0.9090909090909091,0.896551724137931
20,5,10,1,0.9090909090909091,0.896551724137931
10,5,2,4,0.8787878787878788,0.8666666666666667
10,5,2,2,0.8787878787878788,0.8666666666666667
10,5,5,4,0.8787878787878788,0.8666666666666667
20,5,5,1,0.8787878787878788,0.8666666666666667
30,5,5,2,0.8787878787878788,0.8571428571428571
20,5,2,1,0.8787878787878788,0.8571428571428571
30,5,2,1,0.8787878787878788,0.8571428571428571
10,3,5,1,0.8787878787878788,0.8571428571428571
30,3,5,1,0.8787878787878788,0.8571428571428571
30,5,5,1,0.8787878787878788,0.8571428571428571
30,5,2,2,0.8787878787878788,0.8571428571428571
10,5,5,1,0.8484848484848485,0.8275862068965517
20,5,2,2,0.8484848484848485,0.8275862068965517
20,5,5,2,0.8484848484848485,0.8275862068965517
10,5,5,2,0.8181818181818182,0.8
10,5,2,1,0.7878787878787878,0.7586206896551724
