n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
20,5,10,1,0.7096774193548387,0.4
20,5,2,1,0.7258064516129032,0.37037037037037035
20,5,10,2,0.6935483870967742,0.3448275862068966
10,5,2,1,0.7096774193548387,0.3076923076923077
30,5,2,2,0.6774193548387096,0.2857142857142857
30,5,2,1,0.6935483870967742,0.24
30,5,10,1,0.6774193548387096,0.23076923076923078
20,5,5,1,0.6612903225806451,0.2222222222222222
30,5,5,1,0.6612903225806451,0.2222222222222222
30,5,10,2,0.6612903225806451,0.2222222222222222
10,5,5,2,0.6612903225806451,0.16
20,3,10,4,0.6612903225806451,0.16
20,3,10,2,0.6612903225806451,0.16
20,3,2,2,0.6612903225806451,0.16
20,3,2,4,0.6612903225806451,0.16
10,5,5,1,0.6612903225806451,0.16
20,3,5,4,0.6612903225806451,0.16
20,3,5,2,0.6612903225806451,0.16
20,3,10,1,0.6451612903225806,0.15384615384615385
20,5,2,4,0.6451612903225806,0.15384615384615385
10,5,2,2,0.6451612903225806,0.15384615384615385
20,3,5,1,0.6451612903225806,0.15384615384615385
20,5,2,2,0.6451612903225806,0.15384615384615385
20,5,5,4,0.6451612903225806,0.15384615384615385
20,3,2,1,0.6451612903225806,0.15384615384615385
30,3,2,4,0.6612903225806451,0.08695652173913043
30,3,10,2,0.6612903225806451,0.08695652173913043
30,3,5,4,0.6612903225806451,0.08695652173913043
30,3,10,4,0.6612903225806451,0.08695652173913043
30,3,2,1,0.6612903225806451,0.08695652173913043
30,3,10,1,0.6612903225806451,0.08695652173913043
30,3,5,2,0.6451612903225806,0.08333333333333333
10,3,5,1,0.6451612903225806,0.08333333333333333
10,5,5,4,0.6451612903225806,0.08333333333333333
10,3,5,4,0.6451612903225806,0.08333333333333333
10,3,10,4,0.6451612903225806,0.08333333333333333
30,3,5,1,0.6451612903225806,0.08333333333333333
10,3,10,1,0.6451612903225806,0.08333333333333333
10,5,2,4,0.6451612903225806,0.08333333333333333
10,3,2,4,0.6451612903225806,0.08333333333333333
10,3,2,2,0.6451612903225806,0.08333333333333333
30,3,2,2,0.6451612903225806,0.08333333333333333
10,3,5,2,0.6451612903225806,0.08333333333333333
10,3,10,2,0.6451612903225806,0.08333333333333333
10,3,2,1,0.6451612903225806,0.08333333333333333
20,5,10,4,0.6290322580645161,0.08
30,5,5,4,0.6290322580645161,0.08
20,5,5,2,0.6290322580645161,0.08
30,5,2,4,0.6290322580645161,0.08
10,5,10,2,0.6290322580645161,0.08
30,5,5,2,0.6290322580645161,0.08
10,5,10,1,0.6290322580645161,0.08
30,5,10,4,0.6290322580645161,0.08
10,5,10,4,0.6129032258064516,0.07692307692307693
