n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
30,5,10,2,0.8360655737704918,0.8611111111111112
30,5,10,4,0.8360655737704918,0.8571428571428571
20,3,10,2,0.8032786885245902,0.8333333333333334
20,3,10,4,0.8032786885245902,0.8333333333333334
20,3,10,1,0.8032786885245902,0.8333333333333334
30,5,2,2,0.8032786885245902,0.8285714285714286
10,3,10,2,0.8032786885245902,0.8285714285714286
10,3,2,4,0.8032786885245902,0.8285714285714286
10,3,10,1,0.8032786885245902,0.8285714285714286
10,3,5,4,0.8032786885245902,0.8285714285714286
10,3,10,4,0.8032786885245902,0.8285714285714286
30,3,5,1,0.7868852459016393,0.821917808219178
20,3,5,4,0.7868852459016393,0.821917808219178
20,3,2,4,0.7868852459016393,0.821917808219178
30,3,2,1,0.7868852459016393,0.821917808219178
20,5,5,1,0.7868852459016393,0.8169014084507042
30,5,2,1,0.7868852459016393,0.8169014084507042
30,3,10,2,0.7868852459016393,0.8169014084507042
20,5,10,2,0.7868852459016393,0.8169014084507042
30,3,10,4,0.7868852459016393,0.8169014084507042
20,5,10,4,0.7868852459016393,0.8115942028985508
10,3,5,2,0.7868852459016393,0.8115942028985508
10,3,2,1,0.7868852459016393,0.8115942028985508
20,5,5,2,0.7868852459016393,0.8115942028985508
10,5,2,2,0.7868852459016393,0.8115942028985508
10,3,5,1,0.7868852459016393,0.8115942028985508
10,5,5,1,0.7868852459016393,0.8115942028985508
10,3,2,2,0.7868852459016393,0.8115942028985508
10,5,10,4,0.7868852459016393,0.8059701492537313
20,3,2,1,0.7704918032786885,0.8055555555555556
20,3,5,1,0.7704918032786885,0.8055555555555556
30,3,2,2,0.7704918032786885,0.8055555555555556
20,3,5,2,0.7704918032786885,0.8055555555555556
30,3,5,2,0.7704918032786885,0.8055555555555556
20,3,2,2,0.7704918032786885,0.8055555555555556
10,5,10,2,0.7704918032786885,0.8
30,5,5,4,0.7704918032786885,0.8
30,3,5,4,0.7704918032786885,0.8
30,5,5,2,0.7704918032786885,0.8
30,5,5,1,0.7704918032786885,0.8
30,5,2,4,0.7704918032786885,0.8
30,3,2,4,0.7704918032786885,0.8
10,5,5,2,0.7704918032786885,0.7941176470588235
20,5,10,1,0.7704918032786885,0.7941176470588235
10,5,2,1,0.7704918032786885,0.7941176470588235
20,5,2,4,0.7540983606557377,0.7887323943661971
20,5,5,4,0.7540983606557377,0.7887323943661971
30,3,10,1,0.7540983606557377,0.7887323943661971
20,5,2,1,0.7540983606557377,0.782608695652174
30,5,10,1,0.7540983606557377,0.782608695652174
10,5,5,4,0.7540983606557377,0.7761194029850746
10,5,2,4,0.7540983606557377,0.7761194029850746
20,5,2,2,0.7377049180327869,0.7714285714285715
10,5,10,1,0.7377049180327869,0.7647058823529411
