n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,5,5,4,0.8983050847457628,0.9117647058823529
10,5,2,4,0.8983050847457628,0.9117647058823529
20,5,10,2,0.8983050847457628,0.9117647058823529
20,5,2,1,0.8813559322033898,0.8985507246376812
10,5,10,4,0.8813559322033898,0.8985507246376812
10,5,2,1,0.8813559322033898,0.8985507246376812
10,5,10,2,0.8813559322033898,0.8985507246376812
30,5,10,4,0.8813559322033898,0.8955223880597015
30,5,2,4,0.8813559322033898,0.8955223880597015
10,3,5,2,0.8813559322033898,0.8955223880597015
10,3,5,4,0.8813559322033898,0.8955223880597015
20,3,5,2,0.8813559322033898,0.8955223880597015
30,3,5,2,0.8813559322033898,0.8955223880597015
20,3,10,2,0.8813559322033898,0.8955223880597015
10,3,10,2,0.8813559322033898,0.8955223880597015
20,3,5,4,0.8813559322033898,0.8955223880597015
30,3,10,2,0.8813559322033898,0.8955223880597015
30,5,10,2,0.8813559322033898,0.8955223880597015
10,3,2,4,0.8813559322033898,0.8955223880597015
20,3,2,4,0.8813559322033898,0.8955223880597015
30,3,2,2,0.8813559322033898,0.8955223880597015
20,3,2,2,0.8813559322033898,0.8955223880597015
30,3,2,4,0.8813559322033898,0.8955223880597015
20,5,5,4,0.8813559322033898,0.8955223880597015
20,3,2,1,0.8813559322033898,0.8955223880597015
30,3,2,1,0.8813559322033898,0.8955223880597015
30,3,10,4,0.8813559322033898,0.8955223880597015
20,5,10,4,0.8813559322033898,0.8955223880597015
20,3,10,4,0.8813559322033898,0.8955223880597015
20,3,5,1,0.8813559322033898,0.8955223880597015
30,3,5,1,0.8813559322033898,0.8955223880597015
10,3,10,4,0.8813559322033898,0.8955223880597015
30,5,5,4,0.8813559322033898,0.8955223880597015
30,3,5,4,0.8813559322033898,0.8955223880597015
20,3,10,1,0.8813559322033898,0.8955223880597015
20,5,10,1,0.8813559322033898,0.8955223880597015
30,3,10,1,0.8813559322033898,0.8955223880597015
30,5,10,1,0.8813559322033898,0.8955223880597015
10,3,2,2,0.8813559322033898,0.8955223880597015
20,5,2,4,0.8813559322033898,0.8955223880597015
10,3,2,1,0.864406779661017,0.8823529411764706
10,5,10,1,0.864406779661017,0.8823529411764706
10,3,10,1,0.864406779661017,0.8823529411764706
30,5,5,1,0.864406779661017,0.8823529411764706
10,3,5,1,0.864406779661017,0.8823529411764706
30,5,2,1,0.864406779661017,0.8823529411764706
30,5,5,2,0.864406779661017,0.8787878787878788
20,5,5,2,0.864406779661017,0.8787878787878788
10,5,2,2,0.847457627118644,0.8695652173913043
20,5,5,1,0.847457627118644,0.8656716417910447
10,5,5,1,0.847457627118644,0.8656716417910447
10,5,5,2,0.8305084745762712,0.8529411764705882
30,5,2,2,0.8305084745762712,0.8529411764705882
20,5,2,2,0.8305084745762712,0.8529411764705882
