n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,5,5,4,0.8333333333333334,0.7692307692307693
10,5,2,4,0.8333333333333334,0.7692307692307693
20,3,10,1,0.8333333333333334,0.7567567567567568
30,5,10,1,0.8333333333333334,0.7567567567567568
20,3,2,1,0.8333333333333334,0.7567567567567568
20,3,10,4,0.8333333333333334,0.7567567567567568
10,5,10,2,0.8333333333333334,0.7567567567567568
30,5,5,4,0.8333333333333334,0.7567567567567568
20,3,10,2,0.8333333333333334,0.7567567567567568
20,3,5,1,0.8333333333333334,0.7567567567567568
30,5,10,2,0.8333333333333334,0.7567567567567568
30,5,2,4,0.8333333333333334,0.7567567567567568
20,3,5,2,0.8148148148148148,0.7368421052631579
20,5,10,2,0.8148148148148148,0.7368421052631579
20,3,2,2,0.8148148148148148,0.7368421052631579
20,3,2,4,0.8148148148148148,0.7368421052631579
20,5,5,2,0.8148148148148148,0.7368421052631579
20,5,2,4,0.8148148148148148,0.7368421052631579
20,5,10,1,0.8148148148148148,0.7368421052631579
30,5,5,2,0.8148148148148148,0.7368421052631579
30,3,2,4,0.8148148148148148,0.7368421052631579
20,3,5,4,0.8148148148148148,0.7368421052631579
20,5,5,4,0.8148148148148148,0.7368421052631579
30,3,5,4,0.8148148148148148,0.7368421052631579
30,5,2,1,0.8148148148148148,0.7368421052631579
30,3,10,4,0.8148148148148148,0.7368421052631579
10,5,2,1,0.8148148148148148,0.7368421052631579
30,3,10,2,0.7962962962962963,0.717948717948718
30,5,10,4,0.7962962962962963,0.717948717948718
30,3,5,2,0.7962962962962963,0.717948717948718
10,5,2,2,0.7962962962962963,0.717948717948718
20,5,5,1,0.7962962962962963,0.717948717948718
30,3,5,1,0.7962962962962963,0.717948717948718
30,5,5,1,0.7962962962962963,0.717948717948718
10,5,10,1,0.7962962962962963,0.717948717948718
30,3,10,1,0.7962962962962963,0.717948717948718
30,3,2,1,0.7962962962962963,0.717948717948718
20,5,2,2,0.7962962962962963,0.717948717948718
30,3,2,2,0.7962962962962963,0.717948717948718
30,5,2,2,0.7962962962962963,0.717948717948718
10,5,5,2,0.7962962962962963,0.717948717948718
10,5,10,4,0.7962962962962963,0.7027027027027027
20,5,10,4,0.7777777777777778,0.7
20,5,2,1,0.7777777777777778,0.7
10,5,5,1,0.7777777777777778,0.7
10,3,5,1,0.7592592592592593,0.6829268292682927
10,3,10,4,0.7592592592592593,0.6829268292682927
10,3,10,1,0.7592592592592593,0.6829268292682927
10,3,5,4,0.7592592592592593,0.6829268292682927
10,3,10,2,0.7592592592592593,0.6829268292682927
10,3,2,2,0.7592592592592593,0.6829268292682927
10,3,2,4,0.7592592592592593,0.6829268292682927
10,3,5,2,0.7592592592592593,0.6829268292682927
10,3,2,1,0.7592592592592593,0.6829268292682927
