n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
20,5,2,4,0.8387096774193549,0.9056603773584906
10,5,2,1,0.8387096774193549,0.9056603773584906
20,5,5,4,0.8387096774193549,0.9056603773584906
20,3,10,2,0.8387096774193549,0.9056603773584906
20,5,10,4,0.8387096774193549,0.9019607843137255
20,3,5,4,0.8064516129032258,0.8888888888888888
10,3,5,4,0.8064516129032258,0.8888888888888888
20,3,2,4,0.8064516129032258,0.8888888888888888
10,3,2,4,0.8064516129032258,0.8888888888888888
30,3,10,2,0.8064516129032258,0.8846153846153846
30,3,5,2,0.8064516129032258,0.8846153846153846
30,5,5,2,0.8064516129032258,0.8846153846153846
10,3,10,2,0.8064516129032258,0.8846153846153846
10,5,10,2,0.8064516129032258,0.8846153846153846
20,5,10,2,0.8064516129032258,0.8846153846153846
10,3,2,1,0.8064516129032258,0.8846153846153846
30,5,10,2,0.8064516129032258,0.8846153846153846
10,5,5,2,0.8064516129032258,0.8846153846153846
30,3,2,4,0.8064516129032258,0.8846153846153846
30,5,2,4,0.8064516129032258,0.8846153846153846
30,3,5,4,0.8064516129032258,0.8846153846153846
30,5,5,4,0.8064516129032258,0.8846153846153846
10,3,10,4,0.8064516129032258,0.8846153846153846
30,3,10,4,0.8064516129032258,0.8846153846153846
20,3,5,2,0.8064516129032258,0.8846153846153846
20,5,5,2,0.8064516129032258,0.8846153846153846
10,3,5,2,0.8064516129032258,0.8846153846153846
10,3,10,1,0.8064516129032258,0.8846153846153846
20,3,2,1,0.8064516129032258,0.8846153846153846
20,5,2,1,0.8064516129032258,0.8846153846153846
30,3,2,1,0.8064516129032258,0.8846153846153846
30,5,2,1,0.8064516129032258,0.8846153846153846
10,3,5,1,0.8064516129032258,0.8846153846153846
10,5,5,1,0.8064516129032258,0.8846153846153846
20,3,5,1,0.8064516129032258,0.8846153846153846
20,5,5,1,0.8064516129032258,0.8846153846153846
30,3,5,1,0.8064516129032258,0.8846153846153846
30,5,2,2,0.8064516129032258,0.8846153846153846
30,5,5,1,0.8064516129032258,0.8846153846153846
10,5,10,1,0.8064516129032258,0.8846153846153846
20,3,10,1,0.8064516129032258,0.8846153846153846
20,5,10,1,0.8064516129032258,0.8846153846153846
30,3,10,1,0.8064516129032258,0.8846153846153846
30,5,10,1,0.8064516129032258,0.8846153846153846
10,3,2,2,0.8064516129032258,0.8846153846153846
20,3,2,2,0.8064516129032258,0.8846153846153846
20,5,2,2,0.8064516129032258,0.8846153846153846
30,3,2,2,0.8064516129032258,0.8846153846153846
30,5,10,4,0.8064516129032258,0.8846153846153846
10,5,2,4,0.7741935483870968,0.8679245283018868
10,5,5,4,0.7741935483870968,0.8679245283018868
10,5,2,2,0.7741935483870968,0.8679245283018868
10,5,10,4,0.7741935483870968,0.8679245283018868
20,3,10,4,0.7741935483870968,0.8679245283018868
