n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,5,10,2,0.8513513513513513,0.8135593220338984
30,5,5,1,0.8378378378378378,0.8
10,5,2,2,0.8378378378378378,0.8
20,5,5,1,0.8243243243243243,0.7868852459016393
30,5,5,2,0.8243243243243243,0.7868852459016393
30,5,2,2,0.8243243243243243,0.7868852459016393
20,5,5,2,0.8243243243243243,0.7868852459016393
30,5,2,1,0.8243243243243243,0.7868852459016393
10,5,5,2,0.8243243243243243,0.7868852459016393
10,3,10,1,0.8243243243243243,0.7796610169491526
10,3,10,2,0.8243243243243243,0.7796610169491526
10,5,5,1,0.8108108108108109,0.7741935483870968
20,5,2,2,0.8108108108108109,0.7741935483870968
30,5,2,4,0.8108108108108109,0.7666666666666667
20,3,5,4,0.8108108108108109,0.7666666666666667
20,3,2,4,0.8108108108108109,0.7666666666666667
30,5,10,2,0.8108108108108109,0.7666666666666667
20,5,10,2,0.8108108108108109,0.7666666666666667
20,3,10,2,0.8108108108108109,0.7666666666666667
30,5,5,4,0.8108108108108109,0.7666666666666667
20,3,10,4,0.8108108108108109,0.7666666666666667
20,5,10,4,0.8108108108108109,0.7666666666666667
20,3,5,2,0.8108108108108109,0.7666666666666667
30,5,10,4,0.8108108108108109,0.7666666666666667
20,3,2,1,0.8108108108108109,0.7666666666666667
20,3,10,1,0.8108108108108109,0.7666666666666667
20,3,2,2,0.8108108108108109,0.7666666666666667
20,5,2,1,0.8108108108108109,0.7666666666666667
20,3,5,1,0.8108108108108109,0.7666666666666667
10,5,10,1,0.8108108108108109,0.7666666666666667
30,5,10,1,0.8108108108108109,0.7586206896551724
20,5,5,4,0.7972972972972973,0.7540983606557377
20,5,2,4,0.7972972972972973,0.7540983606557377
10,5,2,4,0.8108108108108109,0.75
10,5,5,4,0.8108108108108109,0.75
20,5,10,1,0.7972972972972973,0.7457627118644068
30,3,10,1,0.7972972972972973,0.7457627118644068
30,3,10,4,0.7972972972972973,0.7457627118644068
30,3,5,1,0.7972972972972973,0.7457627118644068
30,3,2,2,0.7972972972972973,0.7457627118644068
30,3,2,4,0.7972972972972973,0.7457627118644068
30,3,5,2,0.7972972972972973,0.7457627118644068
30,3,5,4,0.7972972972972973,0.7457627118644068
30,3,10,2,0.7972972972972973,0.7457627118644068
10,5,10,4,0.7972972972972973,0.7368421052631579
10,3,2,4,0.7837837837837838,0.7333333333333333
10,3,5,4,0.7837837837837838,0.7333333333333333
10,5,2,1,0.7837837837837838,0.7333333333333333
10,3,10,4,0.7837837837837838,0.7333333333333333
10,3,5,2,0.7837837837837838,0.7241379310344828
30,3,2,1,0.7837837837837838,0.7241379310344828
10,3,5,1,0.7837837837837838,0.7241379310344828
10,3,2,2,0.7837837837837838,0.7241379310344828
10,3,2,1,0.7837837837837838,0.7241379310344828
