n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
30,5,2,2,0.9655172413793104,0.9629629629629629
20,5,2,2,0.9655172413793104,0.9629629629629629
20,5,10,2,0.9655172413793104,0.9629629629629629
20,5,10,1,0.9655172413793104,0.9629629629629629
30,5,10,1,0.9540229885057471,0.95
30,5,10,2,0.9540229885057471,0.95
10,5,10,1,0.9540229885057471,0.95
20,5,2,4,0.9540229885057471,0.9487179487179487
20,5,5,4,0.9540229885057471,0.9487179487179487
20,5,5,1,0.9425287356321839,0.9397590361445783
30,5,5,1,0.9425287356321839,0.9397590361445783
30,5,2,1,0.9425287356321839,0.9397590361445783
20,5,2,1,0.9425287356321839,0.9397590361445783
20,5,10,4,0.9425287356321839,0.9367088607594937
10,5,5,4,0.9425287356321839,0.935064935064935
10,5,2,4,0.9425287356321839,0.935064935064935
30,5,2,4,0.9310344827586207,0.9230769230769231
30,5,5,4,0.9310344827586207,0.9230769230769231
10,5,10,2,0.9310344827586207,0.9230769230769231
30,5,10,4,0.9310344827586207,0.9230769230769231
10,3,10,2,0.9195402298850575,0.9135802469135802
20,5,5,2,0.9195402298850575,0.9135802469135802
10,3,10,1,0.9195402298850575,0.9135802469135802
10,5,5,1,0.9195402298850575,0.9135802469135802
10,5,10,4,0.9195402298850575,0.9113924050632911
30,5,5,2,0.9080459770114943,0.9024390243902439
10,5,2,2,0.9080459770114943,0.9024390243902439
10,5,2,1,0.896551724137931,0.891566265060241
30,3,2,2,0.896551724137931,0.8888888888888888
20,3,2,1,0.896551724137931,0.8888888888888888
20,3,10,4,0.896551724137931,0.8888888888888888
30,3,2,1,0.896551724137931,0.8888888888888888
10,3,5,1,0.896551724137931,0.8888888888888888
20,3,5,4,0.896551724137931,0.8888888888888888
20,3,5,1,0.896551724137931,0.8888888888888888
30,3,5,1,0.896551724137931,0.8888888888888888
20,3,2,2,0.896551724137931,0.8888888888888888
20,3,2,4,0.896551724137931,0.8888888888888888
20,3,10,1,0.896551724137931,0.8888888888888888
30,3,10,2,0.896551724137931,0.8888888888888888
30,3,10,1,0.896551724137931,0.8888888888888888
20,3,10,2,0.896551724137931,0.8888888888888888
10,3,2,2,0.896551724137931,0.8888888888888888
30,3,5,2,0.896551724137931,0.8888888888888888
20,3,5,2,0.896551724137931,0.8888888888888888
10,5,5,2,0.896551724137931,0.8888888888888888
10,3,5,2,0.896551724137931,0.8888888888888888
10,3,2,4,0.8850574712643678,0.8780487804878049
30,3,2,4,0.8850574712643678,0.8780487804878049
10,3,5,4,0.8850574712643678,0.8780487804878049
30,3,5,4,0.8850574712643678,0.8780487804878049
10,3,10,4,0.8850574712643678,0.8780487804878049
30,3,10,4,0.8850574712643678,0.8780487804878049
10,3,2,1,0.8850574712643678,0.8780487804878049
