n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,5,5,1,0.7966101694915254,0.6666666666666666
10,3,2,1,0.7966101694915254,0.6470588235294118
30,3,10,1,0.7966101694915254,0.6470588235294118
10,3,10,1,0.7966101694915254,0.6470588235294118
10,3,5,1,0.7966101694915254,0.6470588235294118
20,3,10,2,0.7796610169491526,0.6285714285714286
20,5,5,4,0.7796610169491526,0.6285714285714286
10,5,10,1,0.7796610169491526,0.6285714285714286
10,5,2,1,0.7796610169491526,0.6285714285714286
30,3,10,2,0.7796610169491526,0.6285714285714286
20,5,2,4,0.7796610169491526,0.6285714285714286
20,3,10,4,0.7796610169491526,0.6285714285714286
20,3,10,1,0.7966101694915254,0.625
10,3,2,2,0.7627118644067796,0.6111111111111112
10,3,5,2,0.7627118644067796,0.6111111111111112
10,3,10,4,0.7627118644067796,0.6111111111111112
20,5,10,2,0.7627118644067796,0.6111111111111112
10,5,2,4,0.7627118644067796,0.6111111111111112
10,5,5,4,0.7627118644067796,0.6111111111111112
20,5,10,1,0.7627118644067796,0.6111111111111112
30,3,10,4,0.7627118644067796,0.6111111111111112
30,3,5,1,0.7796610169491526,0.6060606060606061
20,3,2,1,0.7796610169491526,0.6060606060606061
20,3,5,1,0.7796610169491526,0.6060606060606061
30,3,2,1,0.7796610169491526,0.6060606060606061
10,5,10,4,0.7457627118644068,0.5945945945945946
10,3,5,4,0.7457627118644068,0.5945945945945946
20,5,10,4,0.7457627118644068,0.5945945945945946
10,3,10,2,0.7457627118644068,0.5945945945945946
10,3,2,4,0.7457627118644068,0.5945945945945946
30,5,10,1,0.7627118644067796,0.5882352941176471
30,5,10,2,0.7627118644067796,0.5882352941176471
30,5,2,4,0.7627118644067796,0.5882352941176471
30,3,2,4,0.7627118644067796,0.5882352941176471
30,3,5,4,0.7627118644067796,0.5882352941176471
30,5,5,4,0.7627118644067796,0.5882352941176471
30,5,2,1,0.7627118644067796,0.5882352941176471
20,3,2,2,0.7627118644067796,0.5882352941176471
30,5,5,2,0.7627118644067796,0.5882352941176471
30,3,5,2,0.7627118644067796,0.5882352941176471
20,3,5,2,0.7627118644067796,0.5882352941176471
10,5,5,2,0.7627118644067796,0.5882352941176471
30,5,5,1,0.7627118644067796,0.5882352941176471
30,3,2,2,0.7627118644067796,0.5882352941176471
20,5,5,2,0.7457627118644068,0.5714285714285714
20,3,5,4,0.7457627118644068,0.5714285714285714
20,3,2,4,0.7457627118644068,0.5714285714285714
10,5,10,2,0.7457627118644068,0.5714285714285714
20,5,2,1,0.7457627118644068,0.5714285714285714
30,5,10,4,0.7627118644067796,0.5625
30,5,2,2,0.7457627118644068,0.5454545454545454
10,5,2,2,0.7457627118644068,0.5454545454545454
20,5,2,2,0.711864406779661,0.5405405405405406
20,5,5,1,0.6779661016949152,0.4864864864864865
