n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
20,5,2,1,0.9859154929577465,0.9885057471264368
30,5,10,4,0.971830985915493,0.9772727272727273
20,3,10,2,0.971830985915493,0.9772727272727273
30,3,10,2,0.971830985915493,0.9772727272727273
30,5,5,2,0.971830985915493,0.9772727272727273
30,3,5,2,0.971830985915493,0.9772727272727273
30,5,10,2,0.971830985915493,0.9772727272727273
20,3,2,4,0.971830985915493,0.9772727272727273
20,5,2,4,0.971830985915493,0.9772727272727273
30,5,2,2,0.971830985915493,0.9772727272727273
30,3,2,4,0.971830985915493,0.9772727272727273
30,5,2,4,0.971830985915493,0.9772727272727273
20,3,5,4,0.971830985915493,0.9772727272727273
20,5,5,4,0.971830985915493,0.9772727272727273
30,5,10,1,0.971830985915493,0.9772727272727273
30,3,5,4,0.971830985915493,0.9772727272727273
20,5,10,1,0.971830985915493,0.9772727272727273
20,3,10,1,0.971830985915493,0.9772727272727273
30,5,5,4,0.971830985915493,0.9772727272727273
30,5,5,1,0.971830985915493,0.9772727272727273
30,3,5,1,0.971830985915493,0.9772727272727273
20,3,10,4,0.971830985915493,0.9772727272727273
20,3,5,1,0.971830985915493,0.9772727272727273
20,5,10,4,0.971830985915493,0.9772727272727273
30,3,10,4,0.971830985915493,0.9772727272727273
30,5,2,1,0.971830985915493,0.9772727272727273
30,3,2,1,0.971830985915493,0.9772727272727273
20,3,2,1,0.971830985915493,0.9772727272727273
20,5,10,2,0.971830985915493,0.9772727272727273
10,3,10,4,0.9577464788732394,0.9662921348314607
10,3,5,4,0.9577464788732394,0.9662921348314607
10,3,2,4,0.9577464788732394,0.9662921348314607
10,3,2,1,0.9577464788732394,0.9662921348314607
20,5,5,2,0.9577464788732394,0.9662921348314607
30,3,10,1,0.9577464788732394,0.9662921348314607
10,5,2,1,0.9577464788732394,0.9662921348314607
20,3,5,2,0.9577464788732394,0.9662921348314607
10,3,5,1,0.9577464788732394,0.9662921348314607
20,5,5,1,0.9577464788732394,0.9662921348314607
10,3,5,2,0.9577464788732394,0.9662921348314607
30,3,2,2,0.9577464788732394,0.9662921348314607
20,5,2,2,0.9577464788732394,0.9662921348314607
20,3,2,2,0.9577464788732394,0.9662921348314607
10,3,10,2,0.9577464788732394,0.9662921348314607
10,3,10,1,0.9577464788732394,0.9662921348314607
10,3,2,2,0.9577464788732394,0.9662921348314607
10,5,10,2,0.9577464788732394,0.9655172413793104
10,5,10,4,0.9577464788732394,0.9647058823529412
10,5,2,2,0.9436619718309859,0.9545454545454546
10,5,5,2,0.9436619718309859,0.9545454545454546
10,5,10,1,0.9436619718309859,0.9534883720930233
10,5,2,4,0.9436619718309859,0.9534883720930233
10,5,5,4,0.9436619718309859,0.9534883720930233
10,5,5,1,0.9295774647887324,0.9425287356321839
