n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
20,5,5,2,1.0,1.0
10,5,2,4,1.0,1.0
10,5,5,2,1.0,1.0
20,3,5,2,1.0,1.0
10,5,2,1,1.0,1.0
30,5,5,2,1.0,1.0
10,5,10,2,1.0,1.0
20,3,10,2,1.0,1.0
20,5,10,2,1.0,1.0
30,5,10,2,1.0,1.0
20,3,2,4,1.0,1.0
20,5,2,2,1.0,1.0
20,5,2,4,1.0,1.0
30,5,2,4,1.0,1.0
10,5,5,4,1.0,1.0
20,3,5,4,1.0,1.0
20,5,5,4,1.0,1.0
30,5,5,4,1.0,1.0
20,3,10,4,1.0,1.0
20,5,10,4,1.0,1.0
30,5,2,2,1.0,1.0
30,5,10,4,1.0,1.0
20,5,2,1,1.0,1.0
20,3,2,2,1.0,1.0
30,5,2,1,1.0,1.0
10,5,2,2,1.0,1.0
30,5,10,1,1.0,1.0
10,5,5,1,1.0,1.0
20,3,2,1,1.0,1.0
20,5,10,1,1.0,1.0
20,3,10,1,1.0,1.0
10,5,10,1,1.0,1.0
20,3,5,1,1.0,1.0
20,5,5,1,1.0,1.0
30,5,5,1,1.0,1.0
10,5,10,4,0.99,0.9887640449438202
10,3,5,1,0.96,0.9534883720930233
10,3,5,4,0.96,0.9534883720930233
10,3,2,1,0.96,0.9534883720930233
10,3,2,4,0.96,0.9534883720930233
10,3,10,1,0.96,0.9534883720930233
10,3,10,2,0.96,0.9534883720930233
10,3,2,2,0.96,0.9534883720930233
10,3,5,2,0.96,0.9534883720930233
10,3,10,4,0.96,0.9534883720930233
30,3,2,1,0.94,0.9285714285714286
30,3,10,4,0.94,0.9285714285714286
30,3,2,2,0.94,0.9285714285714286
30,3,5,4,0.94,0.9285714285714286
30,3,2,4,0.94,0.9285714285714286
30,3,10,2,0.94,0.9285714285714286
30,3,10,1,0.94,0.9285714285714286
30,3,5,2,0.94,0.9285714285714286
30,3,5,1,0.94,0.9285714285714286
