n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,3,2,1,1.0,1.0
10,5,2,1,1.0,1.0
20,3,2,2,0.9166666666666666,0.9333333333333333
30,3,10,4,0.9166666666666666,0.9333333333333333
20,5,10,4,0.9166666666666666,0.9333333333333333
20,3,10,4,0.9166666666666666,0.9333333333333333
30,5,5,4,0.9166666666666666,0.9333333333333333
30,3,5,4,0.9166666666666666,0.9333333333333333
20,5,5,4,0.9166666666666666,0.9333333333333333
20,3,5,4,0.9166666666666666,0.9333333333333333
30,5,2,4,0.9166666666666666,0.9333333333333333
30,3,2,4,0.9166666666666666,0.9333333333333333
20,5,2,4,0.9166666666666666,0.9333333333333333
20,3,2,4,0.9166666666666666,0.9333333333333333
30,5,10,4,0.9166666666666666,0.9333333333333333
20,3,2,1,0.9166666666666666,0.9333333333333333
30,3,2,1,0.9166666666666666,0.9333333333333333
10,3,10,1,0.9166666666666666,0.9333333333333333
10,5,10,1,0.9166666666666666,0.9333333333333333
10,5,5,1,0.8333333333333334,0.875
30,3,5,1,0.8333333333333334,0.875
10,3,2,2,0.8333333333333334,0.875
10,5,2,2,0.8333333333333334,0.875
10,3,5,1,0.8333333333333334,0.875
30,5,5,1,0.8333333333333334,0.875
20,3,5,1,0.8333333333333334,0.875
20,5,5,1,0.8333333333333334,0.875
30,5,10,2,0.8333333333333334,0.8571428571428571
20,5,10,1,0.8333333333333334,0.8571428571428571
20,5,10,2,0.8333333333333334,0.8571428571428571
30,5,2,1,0.8333333333333334,0.8571428571428571
20,5,2,1,0.8333333333333334,0.8571428571428571
30,3,10,1,0.8333333333333334,0.8571428571428571
30,3,10,2,0.8333333333333334,0.8571428571428571
20,3,10,2,0.8333333333333334,0.8571428571428571
10,5,10,2,0.8333333333333334,0.8571428571428571
30,5,10,1,0.8333333333333334,0.8571428571428571
20,3,10,1,0.8333333333333334,0.8571428571428571
20,5,2,2,0.8333333333333334,0.8571428571428571
30,3,2,2,0.8333333333333334,0.8571428571428571
30,5,2,2,0.8333333333333334,0.8571428571428571
20,5,5,2,0.8333333333333334,0.8571428571428571
20,3,5,2,0.8333333333333334,0.8571428571428571
30,3,5,2,0.8333333333333334,0.8571428571428571
30,5,5,2,0.8333333333333334,0.8571428571428571
10,3,10,2,0.8333333333333334,0.8571428571428571
10,3,5,2,0.75,0.8235294117647058
10,5,5,2,0.75,0.8235294117647058
10,3,5,4,0.75,0.8
10,5,5,4,0.75,0.8
10,3,10,4,0.75,0.8
10,5,10,4,0.75,0.8
10,5,2,4,0.75,0.8
10,3,2,4,0.75,0.8
