n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
30,3,10,1,0.7222222222222222,0.7058823529411765
20,3,10,1,0.7222222222222222,0.7058823529411765
30,5,10,2,0.7222222222222222,0.7058823529411765
30,3,5,2,0.7222222222222222,0.7058823529411765
20,3,5,2,0.7222222222222222,0.7058823529411765
30,3,2,2,0.7222222222222222,0.7058823529411765
20,3,2,2,0.7222222222222222,0.7058823529411765
30,5,10,1,0.7222222222222222,0.7058823529411765
30,3,10,2,0.7222222222222222,0.7058823529411765
20,3,10,2,0.7222222222222222,0.7058823529411765
20,5,5,1,0.7222222222222222,0.7058823529411765
20,5,2,1,0.7222222222222222,0.7058823529411765
10,3,5,2,0.6666666666666666,0.6666666666666666
10,3,10,1,0.6666666666666666,0.6666666666666666
10,5,10,1,0.6666666666666666,0.6666666666666666
10,5,5,4,0.6666666666666666,0.6666666666666666
10,5,10,2,0.6666666666666666,0.6666666666666666
10,3,10,2,0.6666666666666666,0.6666666666666666
10,3,2,2,0.6666666666666666,0.6666666666666666
10,5,2,4,0.6666666666666666,0.6666666666666666
20,5,5,4,0.6666666666666666,0.625
30,3,10,4,0.6666666666666666,0.625
20,5,10,4,0.6666666666666666,0.625
20,3,2,4,0.6666666666666666,0.625
30,3,2,4,0.6666666666666666,0.625
20,5,2,4,0.6666666666666666,0.625
20,3,10,4,0.6666666666666666,0.625
20,3,5,4,0.6666666666666666,0.625
10,5,10,4,0.6666666666666666,0.625
30,5,2,4,0.6666666666666666,0.625
30,5,5,4,0.6666666666666666,0.625
30,3,5,4,0.6666666666666666,0.625
20,5,5,2,0.6666666666666666,0.625
30,5,10,4,0.6666666666666666,0.625
20,5,10,2,0.6666666666666666,0.625
20,3,2,1,0.6666666666666666,0.625
30,3,2,1,0.6666666666666666,0.625
10,5,5,2,0.6666666666666666,0.625
30,5,2,2,0.6666666666666666,0.625
20,5,2,2,0.6666666666666666,0.625
10,5,2,2,0.6666666666666666,0.625
20,5,10,1,0.6666666666666666,0.625
30,5,5,2,0.6666666666666666,0.625
30,3,5,1,0.6666666666666666,0.625
20,3,5,1,0.6666666666666666,0.625
10,3,10,4,0.6111111111111112,0.5882352941176471
30,5,2,1,0.6111111111111112,0.5882352941176471
10,3,5,1,0.6111111111111112,0.5882352941176471
30,5,5,1,0.6111111111111112,0.5882352941176471
10,3,2,1,0.6111111111111112,0.5882352941176471
10,5,5,1,0.6111111111111112,0.5333333333333333
10,3,5,4,0.6111111111111112,0.5333333333333333
10,5,2,1,0.6111111111111112,0.5333333333333333
10,3,2,4,0.6111111111111112,0.5333333333333333
