n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
30,5,2,1,0.9090909090909091,0.9230769230769231
20,5,5,1,0.8636363636363636,0.88
30,5,2,2,0.8636363636363636,0.88
20,5,2,1,0.8636363636363636,0.88
10,5,2,2,0.8636363636363636,0.88
30,3,10,2,0.8636363636363636,0.8695652173913043
30,3,2,1,0.8636363636363636,0.8695652173913043
20,5,10,2,0.8636363636363636,0.8695652173913043
30,3,10,1,0.8636363636363636,0.8695652173913043
30,3,5,1,0.8636363636363636,0.8695652173913043
30,5,5,1,0.8636363636363636,0.8695652173913043
20,5,2,2,0.8181818181818182,0.8461538461538461
30,3,2,2,0.8181818181818182,0.8333333333333334
10,3,2,1,0.8181818181818182,0.8333333333333334
20,3,5,2,0.8181818181818182,0.8333333333333334
30,3,5,2,0.8181818181818182,0.8333333333333334
30,5,5,2,0.8181818181818182,0.8333333333333334
20,3,2,2,0.8181818181818182,0.8333333333333334
20,5,5,2,0.8181818181818182,0.8333333333333334
20,3,5,1,0.8181818181818182,0.8333333333333334
10,5,5,1,0.8181818181818182,0.8333333333333334
20,5,10,1,0.8181818181818182,0.8333333333333334
20,3,2,1,0.8181818181818182,0.8333333333333334
20,5,2,4,0.8181818181818182,0.8181818181818182
30,5,10,2,0.8181818181818182,0.8181818181818182
30,5,5,4,0.8181818181818182,0.8181818181818182
30,3,2,4,0.8181818181818182,0.8181818181818182
30,5,2,4,0.8181818181818182,0.8181818181818182
10,3,10,2,0.8181818181818182,0.8181818181818182
30,3,5,4,0.8181818181818182,0.8181818181818182
10,3,10,1,0.8181818181818182,0.8181818181818182
10,5,5,4,0.8181818181818182,0.8181818181818182
30,3,10,4,0.8181818181818182,0.8181818181818182
20,5,5,4,0.8181818181818182,0.8181818181818182
10,5,2,4,0.8181818181818182,0.8181818181818182
20,3,2,4,0.7727272727272727,0.782608695652174
10,5,10,4,0.7727272727272727,0.782608695652174
20,3,5,4,0.7727272727272727,0.782608695652174
10,3,2,2,0.7727272727272727,0.782608695652174
30,5,10,1,0.7727272727272727,0.782608695652174
20,3,10,2,0.7727272727272727,0.782608695652174
20,3,10,4,0.7727272727272727,0.782608695652174
20,5,10,4,0.7727272727272727,0.782608695652174
10,5,5,2,0.7727272727272727,0.782608695652174
10,3,5,2,0.7727272727272727,0.782608695652174
20,3,10,1,0.7727272727272727,0.782608695652174
10,3,5,1,0.7727272727272727,0.782608695652174
30,5,10,4,0.7727272727272727,0.7619047619047619
10,5,10,2,0.7727272727272727,0.7619047619047619
10,5,2,1,0.7727272727272727,0.7619047619047619
10,3,10,4,0.6818181818181818,0.6956521739130435
10,3,5,4,0.6818181818181818,0.6956521739130435
10,3,2,4,0.6818181818181818,0.6956521739130435
10,5,10,1,0.6818181818181818,0.6666666666666666
