n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
20,5,2,1,1.0,1.0
30,5,2,1,1.0,1.0
30,5,5,1,0.9615384615384616,0.9655172413793104
30,5,5,2,0.9230769230769231,0.9285714285714286
10,5,5,1,0.9230769230769231,0.9285714285714286
20,5,5,1,0.9230769230769231,0.9285714285714286
20,5,5,2,0.8461538461538461,0.8461538461538461
30,5,10,2,0.8461538461538461,0.8461538461538461
10,5,5,2,0.8461538461538461,0.8461538461538461
30,5,10,1,0.8461538461538461,0.8461538461538461
30,5,10,4,0.8461538461538461,0.8461538461538461
10,5,2,1,0.8076923076923077,0.8148148148148148
30,5,2,2,0.7692307692307693,0.7692307692307693
30,5,2,4,0.7692307692307693,0.7692307692307693
20,3,5,2,0.7692307692307693,0.7692307692307693
20,5,5,4,0.7692307692307693,0.7692307692307693
20,3,2,1,0.7692307692307693,0.7692307692307693
30,5,5,4,0.7692307692307693,0.7692307692307693
20,5,2,2,0.7692307692307693,0.7692307692307693
20,3,2,2,0.7692307692307693,0.7692307692307693
20,5,2,4,0.7692307692307693,0.7692307692307693
20,3,5,1,0.7692307692307693,0.7692307692307693
10,5,10,4,0.7692307692307693,0.75
20,5,10,4,0.7692307692307693,0.75
10,5,10,2,0.7692307692307693,0.75
20,5,10,1,0.7692307692307693,0.75
20,5,10,2,0.7692307692307693,0.75
10,5,10,1,0.7692307692307693,0.75
30,3,2,4,0.6923076923076923,0.6666666666666666
30,3,5,1,0.6923076923076923,0.6666666666666666
20,3,5,4,0.6923076923076923,0.6666666666666666
30,3,5,4,0.6923076923076923,0.6666666666666666
20,3,10,4,0.6923076923076923,0.6666666666666666
30,3,10,4,0.6923076923076923,0.6666666666666666
20,3,2,4,0.6923076923076923,0.6666666666666666
20,3,10,2,0.6923076923076923,0.6666666666666666
30,3,2,2,0.6923076923076923,0.6666666666666666
30,3,10,2,0.6923076923076923,0.6666666666666666
20,3,10,1,0.6923076923076923,0.6666666666666666
30,3,10,1,0.6923076923076923,0.6666666666666666
30,3,2,1,0.6923076923076923,0.6666666666666666
10,5,2,2,0.6923076923076923,0.6666666666666666
30,3,5,2,0.6923076923076923,0.6666666666666666
10,3,2,4,0.6538461538461539,0.6086956521739131
10,3,2,2,0.6538461538461539,0.6086956521739131
10,3,10,4,0.6538461538461539,0.6086956521739131
10,3,5,1,0.6538461538461539,0.6086956521739131
10,3,5,2,0.6538461538461539,0.6086956521739131
10,5,2,4,0.6538461538461539,0.6086956521739131
10,5,5,4,0.6538461538461539,0.6086956521739131
10,3,5,4,0.6538461538461539,0.6086956521739131
10,3,10,2,0.6538461538461539,0.6086956521739131
10,3,10,1,0.6538461538461539,0.6086956521739131
10,3,2,1,0.6538461538461539,0.6086956521739131
