n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
30,5,10,4,0.975,0.9767441860465116
10,5,10,1,0.975,0.9767441860465116
10,5,10,4,0.975,0.9767441860465116
30,5,5,4,0.975,0.9767441860465116
30,5,2,4,0.975,0.9767441860465116
30,5,10,2,0.975,0.9767441860465116
20,5,10,2,0.975,0.9767441860465116
30,5,2,2,0.975,0.9767441860465116
20,5,10,4,0.95,0.9545454545454546
30,5,5,2,0.95,0.9545454545454546
20,5,2,2,0.95,0.9545454545454546
30,5,10,1,0.95,0.9545454545454546
20,5,10,1,0.95,0.9545454545454546
20,5,5,2,0.95,0.9545454545454546
30,5,5,1,0.95,0.9545454545454546
20,5,2,4,0.95,0.9523809523809523
10,5,2,4,0.95,0.9523809523809523
10,5,5,4,0.95,0.9523809523809523
20,5,5,4,0.95,0.9523809523809523
10,5,10,2,0.95,0.9523809523809523
20,5,5,1,0.925,0.9333333333333333
30,5,2,1,0.925,0.9333333333333333
20,5,2,1,0.925,0.9333333333333333
10,5,2,1,0.925,0.9333333333333333
10,5,5,2,0.925,0.9302325581395349
30,3,2,2,0.925,0.9302325581395349
30,3,2,4,0.925,0.9302325581395349
30,3,5,2,0.925,0.9302325581395349
30,3,2,1,0.925,0.9302325581395349
30,3,5,1,0.925,0.9302325581395349
30,3,5,4,0.925,0.9302325581395349
10,5,5,1,0.925,0.9302325581395349
30,3,10,4,0.925,0.9302325581395349
10,5,2,2,0.925,0.9302325581395349
30,3,10,1,0.925,0.9302325581395349
30,3,10,2,0.925,0.9302325581395349
10,3,5,2,0.925,0.926829268292683
10,3,10,2,0.925,0.926829268292683
10,3,10,1,0.925,0.926829268292683
10,3,2,2,0.925,0.926829268292683
20,3,10,1,0.9,0.9047619047619048
10,3,5,1,0.9,0.9047619047619048
20,3,10,2,0.9,0.9047619047619048
10,3,2,1,0.9,0.9047619047619048
10,3,5,4,0.9,0.9
10,3,2,4,0.9,0.9
10,3,10,4,0.9,0.9
20,3,2,4,0.875,0.8780487804878049
20,3,5,4,0.875,0.8780487804878049
20,3,5,1,0.875,0.8780487804878049
20,3,5,2,0.875,0.8780487804878049
20,3,10,4,0.875,0.8780487804878049
20,3,2,1,0.875,0.8780487804878049
20,3,2,2,0.875,0.8780487804878049
