n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,5,2,1,0.7096774193548387,0.5846153846153846
20,5,10,4,0.6881720430107527,0.5671641791044776
30,5,10,4,0.6774193548387096,0.5588235294117647
20,5,10,2,0.6881720430107527,0.5538461538461539
10,5,2,2,0.6881720430107527,0.5538461538461539
30,5,2,1,0.6774193548387096,0.5454545454545454
20,5,10,1,0.6774193548387096,0.5454545454545454
20,3,2,4,0.6881720430107527,0.5396825396825397
20,3,5,4,0.6881720430107527,0.5396825396825397
30,5,2,2,0.6559139784946236,0.5294117647058824
30,3,2,1,0.7096774193548387,0.5263157894736842
20,5,2,1,0.6666666666666666,0.5230769230769231
30,5,10,2,0.6666666666666666,0.5230769230769231
20,3,5,1,0.6774193548387096,0.5161290322580645
20,3,10,4,0.6774193548387096,0.5161290322580645
20,3,5,2,0.6774193548387096,0.5161290322580645
20,5,5,1,0.6559139784946236,0.5151515151515151
30,5,2,4,0.6666666666666666,0.5079365079365079
30,5,5,4,0.6666666666666666,0.5079365079365079
30,5,10,1,0.6451612903225806,0.5074626865671642
30,5,5,2,0.6451612903225806,0.5074626865671642
20,5,5,4,0.6559139784946236,0.5
10,5,5,2,0.6774193548387096,0.5
20,5,2,4,0.6559139784946236,0.5
20,5,2,2,0.6559139784946236,0.5
20,3,10,1,0.6666666666666666,0.4918032786885246
20,3,2,2,0.6666666666666666,0.4918032786885246
20,3,10,2,0.6666666666666666,0.4918032786885246
30,3,10,1,0.6881720430107527,0.49122807017543857
30,3,5,4,0.6881720430107527,0.49122807017543857
30,3,2,4,0.6881720430107527,0.49122807017543857
30,5,5,1,0.6344086021505376,0.48484848484848486
10,5,5,1,0.6559139784946236,0.4838709677419355
30,3,5,1,0.6774193548387096,0.4827586206896552
20,3,2,1,0.6666666666666666,0.4745762711864407
30,3,10,4,0.6881720430107527,0.4727272727272727
30,3,10,2,0.6881720430107527,0.4727272727272727
20,5,5,2,0.6344086021505376,0.46875
30,3,5,2,0.6774193548387096,0.4642857142857143
30,3,2,2,0.6774193548387096,0.4444444444444444
10,3,2,4,0.6666666666666666,0.43636363636363634
10,3,5,4,0.6666666666666666,0.43636363636363634
10,5,10,1,0.6344086021505376,0.43333333333333335
10,5,10,2,0.6129032258064516,0.41935483870967744
10,5,2,4,0.6129032258064516,0.4
10,5,5,4,0.6129032258064516,0.4
10,3,10,4,0.6451612903225806,0.4
10,5,10,4,0.5913978494623656,0.3448275862068966
10,3,5,2,0.6129032258064516,0.3333333333333333
10,3,2,2,0.6129032258064516,0.3333333333333333
10,3,5,1,0.6129032258064516,0.3333333333333333
10,3,2,1,0.6129032258064516,0.3333333333333333
10,3,10,2,0.6021505376344086,0.32727272727272727
10,3,10,1,0.6021505376344086,0.32727272727272727
