n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
20,5,10,1,0.9047619047619048,0.875
10,5,5,1,0.9047619047619048,0.875
30,5,5,1,0.9047619047619048,0.875
30,5,5,2,0.9047619047619048,0.875
20,5,5,1,0.9047619047619048,0.8666666666666667
20,5,5,2,0.8809523809523809,0.8484848484848485
20,5,2,1,0.8809523809523809,0.8387096774193549
30,5,2,2,0.8809523809523809,0.8387096774193549
20,5,2,4,0.8809523809523809,0.8387096774193549
20,5,2,2,0.8809523809523809,0.8387096774193549
20,5,5,4,0.8809523809523809,0.8387096774193549
10,5,5,2,0.8571428571428571,0.8235294117647058
10,5,2,4,0.8571428571428571,0.8235294117647058
10,5,5,4,0.8571428571428571,0.8235294117647058
30,5,2,1,0.8571428571428571,0.8125
10,5,2,1,0.8571428571428571,0.8125
30,5,2,4,0.8571428571428571,0.8125
20,5,10,4,0.8571428571428571,0.8125
30,5,5,4,0.8571428571428571,0.8125
10,5,2,2,0.8333333333333334,0.7878787878787878
10,5,10,1,0.8095238095238095,0.7777777777777778
20,3,5,2,0.8333333333333334,0.7741935483870968
10,5,10,4,0.8095238095238095,0.7647058823529411
20,3,10,4,0.8333333333333334,0.7586206896551724
30,5,10,1,0.7857142857142857,0.7428571428571429
20,5,10,2,0.8095238095238095,0.7333333333333333
30,3,2,4,0.8095238095238095,0.7333333333333333
30,3,5,4,0.8095238095238095,0.7333333333333333
30,3,10,4,0.8095238095238095,0.7333333333333333
30,3,10,2,0.8095238095238095,0.7333333333333333
30,5,10,4,0.8095238095238095,0.7333333333333333
20,3,5,4,0.8095238095238095,0.7142857142857143
20,3,2,4,0.8095238095238095,0.7142857142857143
20,3,10,1,0.8095238095238095,0.7142857142857143
20,3,10,2,0.8095238095238095,0.7142857142857143
10,3,10,2,0.7857142857142857,0.7096774193548387
20,3,2,1,0.7857142857142857,0.7096774193548387
20,3,5,1,0.7857142857142857,0.7096774193548387
20,3,2,2,0.7857142857142857,0.7096774193548387
10,5,10,2,0.7619047619047619,0.7058823529411765
30,3,10,1,0.7857142857142857,0.6896551724137931
10,3,5,1,0.7619047619047619,0.6875
10,3,10,4,0.7619047619047619,0.6875
10,3,10,1,0.7619047619047619,0.6875
10,3,5,4,0.7619047619047619,0.6875
10,3,2,2,0.7619047619047619,0.6875
10,3,5,2,0.7619047619047619,0.6875
10,3,2,4,0.7619047619047619,0.6875
30,5,10,2,0.7619047619047619,0.6875
10,3,2,1,0.7619047619047619,0.6875
30,3,2,2,0.7619047619047619,0.6666666666666666
30,3,5,2,0.7619047619047619,0.6666666666666666
30,3,5,1,0.7380952380952381,0.6451612903225806
30,3,2,1,0.7380952380952381,0.6451612903225806
