n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,3,2,1,0.9074074074074074,0.9484536082474226
10,3,2,2,0.9074074074074074,0.9484536082474226
10,3,10,4,0.9074074074074074,0.9484536082474226
20,5,5,4,0.9074074074074074,0.9484536082474226
10,3,5,4,0.9074074074074074,0.9484536082474226
10,3,5,1,0.9074074074074074,0.9484536082474226
20,5,2,4,0.9074074074074074,0.9484536082474226
10,3,2,4,0.9074074074074074,0.9484536082474226
20,5,5,1,0.9074074074074074,0.9484536082474226
10,3,10,2,0.9074074074074074,0.9484536082474226
10,3,5,2,0.9074074074074074,0.9484536082474226
10,3,10,1,0.9074074074074074,0.9484536082474226
20,5,10,4,0.8888888888888888,0.9375
20,5,5,2,0.8888888888888888,0.9375
10,5,5,2,0.8703703703703703,0.9263157894736842
20,5,2,1,0.8703703703703703,0.9263157894736842
20,5,10,1,0.8703703703703703,0.9263157894736842
20,5,10,2,0.8703703703703703,0.9263157894736842
10,5,2,4,0.8703703703703703,0.9263157894736842
30,5,2,1,0.8703703703703703,0.9263157894736842
10,5,5,4,0.8703703703703703,0.9263157894736842
30,5,5,1,0.8703703703703703,0.9263157894736842
30,5,10,2,0.8703703703703703,0.9263157894736842
20,5,2,2,0.8703703703703703,0.9263157894736842
10,5,2,2,0.8703703703703703,0.9263157894736842
30,5,10,1,0.8703703703703703,0.9263157894736842
30,3,5,4,0.8518518518518519,0.92
20,3,5,1,0.8518518518518519,0.92
30,3,2,1,0.8518518518518519,0.92
20,3,5,4,0.8518518518518519,0.92
20,3,10,4,0.8518518518518519,0.92
30,3,2,4,0.8518518518518519,0.92
20,3,2,4,0.8518518518518519,0.92
20,3,2,1,0.8518518518518519,0.92
30,3,10,4,0.8518518518518519,0.92
20,3,10,1,0.8518518518518519,0.92
30,3,10,2,0.8518518518518519,0.92
20,3,10,2,0.8518518518518519,0.92
30,3,5,2,0.8518518518518519,0.92
30,3,10,1,0.8518518518518519,0.92
20,3,2,2,0.8518518518518519,0.92
30,3,2,2,0.8518518518518519,0.92
20,3,5,2,0.8518518518518519,0.92
30,3,5,1,0.8518518518518519,0.92
30,5,5,2,0.8518518518518519,0.9148936170212766
30,5,2,2,0.8518518518518519,0.9148936170212766
30,5,5,4,0.8518518518518519,0.9148936170212766
30,5,2,4,0.8518518518518519,0.9148936170212766
10,5,10,4,0.8518518518518519,0.9148936170212766
10,5,5,1,0.8518518518518519,0.9148936170212766
30,5,10,4,0.8518518518518519,0.9148936170212766
10,5,2,1,0.8518518518518519,0.9130434782608695
10,5,10,2,0.8333333333333334,0.9032258064516129
10,5,10,1,0.8333333333333334,0.9032258064516129
