n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
30,5,5,1,0.9,0.9345794392523364
20,3,2,2,0.8857142857142857,0.9272727272727272
30,5,2,1,0.8857142857142857,0.9259259259259259
30,5,5,2,0.8857142857142857,0.9259259259259259
30,5,5,4,0.8857142857142857,0.9259259259259259
30,5,2,4,0.8857142857142857,0.9259259259259259
20,5,10,4,0.8857142857142857,0.9245283018867925
30,3,5,4,0.8714285714285714,0.918918918918919
20,3,5,4,0.8714285714285714,0.918918918918919
10,3,5,2,0.8714285714285714,0.918918918918919
30,3,10,4,0.8714285714285714,0.918918918918919
30,3,2,4,0.8714285714285714,0.918918918918919
20,3,2,4,0.8714285714285714,0.918918918918919
30,5,10,2,0.8714285714285714,0.918918918918919
30,3,10,2,0.8714285714285714,0.918918918918919
10,3,2,2,0.8714285714285714,0.918918918918919
20,3,2,1,0.8714285714285714,0.918918918918919
10,5,5,4,0.8714285714285714,0.9174311926605505
10,5,2,4,0.8714285714285714,0.9174311926605505
20,3,10,2,0.8714285714285714,0.9174311926605505
10,3,2,1,0.8714285714285714,0.9174311926605505
30,5,10,4,0.8714285714285714,0.9174311926605505
10,3,5,1,0.8714285714285714,0.9174311926605505
10,5,2,1,0.8714285714285714,0.9158878504672897
20,5,2,4,0.8714285714285714,0.9142857142857143
20,5,5,4,0.8714285714285714,0.9142857142857143
20,5,10,2,0.8714285714285714,0.9142857142857143
10,3,5,4,0.8571428571428571,0.9107142857142857
30,3,10,1,0.8571428571428571,0.9107142857142857
10,3,2,4,0.8571428571428571,0.9107142857142857
30,3,2,2,0.8571428571428571,0.9090909090909091
30,5,2,2,0.8571428571428571,0.9090909090909091
30,3,2,1,0.8571428571428571,0.9090909090909091
20,3,10,4,0.8571428571428571,0.9090909090909091
10,3,10,4,0.8571428571428571,0.9090909090909091
20,3,10,1,0.8571428571428571,0.9090909090909091
20,5,2,2,0.8571428571428571,0.9074074074074074
20,5,10,1,0.8571428571428571,0.9074074074074074
10,5,5,1,0.8571428571428571,0.9056603773584906
20,5,2,1,0.8571428571428571,0.9056603773584906
20,5,5,1,0.8571428571428571,0.9056603773584906
20,5,5,2,0.8571428571428571,0.9056603773584906
20,3,5,1,0.8428571428571429,0.9009009009009009
20,3,5,2,0.8428571428571429,0.9009009009009009
30,3,5,1,0.8428571428571429,0.8990825688073395
30,3,5,2,0.8428571428571429,0.8990825688073395
30,5,10,1,0.8428571428571429,0.897196261682243
10,5,5,2,0.8428571428571429,0.897196261682243
10,3,10,2,0.8285714285714286,0.8909090909090909
10,5,10,4,0.8285714285714286,0.8909090909090909
10,3,10,1,0.8142857142857143,0.8807339449541285
10,5,2,2,0.8,0.875
10,5,10,2,0.8,0.8727272727272727
10,5,10,1,0.8,0.8727272727272727
