n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
30,5,2,1,0.9885057471264368,0.9824561403508771
20,5,5,2,0.9770114942528736,0.9642857142857143
10,5,2,4,0.9770114942528736,0.9642857142857143
10,5,5,2,0.9770114942528736,0.9642857142857143
10,5,2,1,0.9770114942528736,0.9642857142857143
30,5,5,2,0.9770114942528736,0.9642857142857143
10,3,10,2,0.9770114942528736,0.9642857142857143
10,5,10,2,0.9770114942528736,0.9642857142857143
20,5,10,2,0.9770114942528736,0.9642857142857143
30,5,10,2,0.9770114942528736,0.9642857142857143
20,5,2,4,0.9770114942528736,0.9642857142857143
20,5,2,2,0.9770114942528736,0.9642857142857143
30,5,2,4,0.9770114942528736,0.9642857142857143
10,5,5,4,0.9770114942528736,0.9642857142857143
20,5,5,4,0.9770114942528736,0.9642857142857143
30,5,5,4,0.9770114942528736,0.9642857142857143
10,3,10,4,0.9770114942528736,0.9642857142857143
10,5,10,4,0.9770114942528736,0.9642857142857143
20,5,10,4,0.9770114942528736,0.9642857142857143
30,5,2,2,0.9770114942528736,0.9642857142857143
30,5,10,4,0.9770114942528736,0.9642857142857143
30,5,5,1,0.9770114942528736,0.9642857142857143
30,5,10,1,0.9770114942528736,0.9642857142857143
10,3,10,1,0.9770114942528736,0.9642857142857143
10,5,10,1,0.9770114942528736,0.9642857142857143
10,5,5,1,0.9770114942528736,0.9642857142857143
20,5,10,1,0.9770114942528736,0.9642857142857143
20,5,2,1,0.9770114942528736,0.9642857142857143
30,3,2,1,0.9655172413793104,0.9473684210526315
10,3,5,1,0.9655172413793104,0.9473684210526315
30,3,5,1,0.9655172413793104,0.9473684210526315
30,3,5,4,0.9655172413793104,0.9473684210526315
20,3,10,4,0.9655172413793104,0.9473684210526315
20,3,2,1,0.9655172413793104,0.9473684210526315
20,3,5,4,0.9655172413793104,0.9473684210526315
30,3,10,4,0.9655172413793104,0.9473684210526315
20,3,5,1,0.9655172413793104,0.9473684210526315
10,3,5,4,0.9655172413793104,0.9473684210526315
30,3,2,4,0.9655172413793104,0.9473684210526315
20,3,2,2,0.9655172413793104,0.9473684210526315
20,3,2,4,0.9655172413793104,0.9473684210526315
30,3,2,2,0.9655172413793104,0.9473684210526315
10,3,2,4,0.9655172413793104,0.9473684210526315
30,3,10,2,0.9655172413793104,0.9473684210526315
20,3,10,2,0.9655172413793104,0.9473684210526315
20,3,10,1,0.9655172413793104,0.9473684210526315
30,3,10,1,0.9655172413793104,0.9473684210526315
30,3,5,2,0.9655172413793104,0.9473684210526315
20,3,5,2,0.9655172413793104,0.9473684210526315
10,3,2,2,0.9655172413793104,0.9473684210526315
10,3,5,2,0.9655172413793104,0.9473684210526315
10,3,2,1,0.9655172413793104,0.9473684210526315
20,5,5,1,0.9655172413793104,0.9454545454545454
10,5,2,2,0.9655172413793104,0.9454545454545454
