learning_rate,epochs,accuracy,f1_score
0.001,50.0,1.0,1.0
0.001,100.0,1.0,1.0
0.001,150.0,1.0,1.0
0.05,50.0,0.625,0.6269565217391305
0.05,100.0,0.625,0.6100569259962049
0.05,150.0,0.5416666666666666,0.49999999999999994
0.001,10.0,0.5833333333333334,0.4298245614035088
0.05,10.0,0.5833333333333334,0.4298245614035088
0.1,50.0,0.5833333333333334,0.4298245614035088
0.1,100.0,0.5833333333333334,0.4298245614035088
0.1,150.0,0.5833333333333334,0.4298245614035088
0.1,10.0,0.4583333333333333,0.3303030303030303
