learning_rate,epochs,accuracy,f1_score
0.001,10.0,1.0,1.0
0.001,50.0,1.0,1.0
0.001,100.0,1.0,1.0
0.001,150.0,1.0,1.0
0.05,10.0,0.7777777777777778,0.7962962962962963
0.1,10.0,0.7777777777777778,0.7962962962962963
0.05,50.0,0.7777777777777778,0.7777777777777778
0.05,150.0,0.7777777777777778,0.7777777777777778
0.05,100.0,0.7777777777777778,0.6805555555555556
0.1,100.0,0.7777777777777778,0.6805555555555556
0.1,150.0,0.7777777777777778,0.6805555555555556
0.1,50.0,0.6666666666666666,0.6222222222222222
