learning_rate,epochs,accuracy,f1_score
0.001,50.0,0.9090909090909091,0.9125541125541126
0.001,100.0,0.9090909090909091,0.9125541125541126
0.001,150.0,0.9090909090909091,0.9125541125541126
0.05,150.0,0.9090909090909091,0.9125541125541126
0.1,100.0,0.9090909090909091,0.9125541125541126
0.001,10.0,0.8181818181818182,0.827922077922078
0.05,100.0,0.8181818181818182,0.827922077922078
0.1,50.0,0.6363636363636364,0.6484848484848484
0.1,150.0,0.36363636363636365,0.3878787878787879
0.05,50.0,0.36363636363636365,0.2874902874902875
0.05,10.0,0.2727272727272727,0.11688311688311687
0.1,10.0,0.2727272727272727,0.11688311688311687
