learning_rate,epochs,accuracy,f1_score
0.001,100.0,0.9722222222222222,0.9708994708994708
0.001,150.0,0.9722222222222222,0.9708994708994708
0.001,50.0,0.8888888888888888,0.8552188552188553
0.001,10.0,0.8611111111111112,0.7968490878938641
0.05,10.0,0.8611111111111112,0.7968490878938641
0.05,50.0,0.8611111111111112,0.7968490878938641
0.05,100.0,0.8611111111111112,0.7968490878938641
0.1,10.0,0.8611111111111112,0.7968490878938641
0.1,50.0,0.8611111111111112,0.7968490878938641
0.1,150.0,0.8611111111111112,0.7968490878938641
0.05,150.0,0.75,0.772490221642764
0.1,100.0,0.5833333333333334,0.6418439716312057
