learning_rate,epochs,accuracy,f1_score
0.001,10.0,1.0,1.0
0.001,50.0,1.0,1.0
0.001,100.0,1.0,1.0
0.001,150.0,1.0,1.0
0.1,150.0,0.7758620689655172,0.7498385638641354
0.05,50.0,0.7413793103448276,0.7392811530742565
0.1,100.0,0.6896551724137931,0.6140198759421063
0.05,100.0,0.6896551724137931,0.5913793103448275
0.05,150.0,0.6896551724137931,0.5913793103448275
0.1,50.0,0.6379310344827587,0.5372050816696914
0.1,10.0,0.603448275862069,0.5190952910641454
0.05,10.0,0.4482758620689655,0.40815047021943573
