learning_rate,epochs,accuracy,f1_score
0.001,150.0,0.9855072463768116,0.9854950290924085
0.001,100.0,0.9420289855072463,0.9420533430763609
0.001,50.0,0.6231884057971014,0.6209492876651658
0.1,10.0,0.6231884057971014,0.620005875440658
0.1,100.0,0.6086956521739131,0.5848840285739484
0.05,100.0,0.5797101449275363,0.5761309253825291
0.1,50.0,0.6086956521739131,0.5615708274894811
0.05,150.0,0.5652173913043478,0.5569715142428785
0.1,150.0,0.5652173913043478,0.5144927536231884
0.05,50.0,0.5217391304347826,0.46023726504762585
0.001,10.0,0.5217391304347826,0.4476858345021038
0.05,10.0,0.4782608695652174,0.30946291560102307
